first_release_date,genres,id,name,platforms,storyline,summary
1695254400,"[14, 32]",244564,Metaball,"[6, 7, 11, 34, 49, 167, 169]",In a distant future where humans have settled and inhabited all planets in the solar system they soon had to face a huge menace as solar energy started to deplete  Panic and uncertainty raged in the heliocentric system but scientists discovered on Mars a new mineral called Metanium that could replace solar energy From this instant and for several centuries a fierce competition took place between all the planets to obtain this rare resource  As the energy depletion caused by the war worsened leaders from all the planets scrambled to find a solution that would lead to a fair distribution of the mineral and put an end to the crisis  After much deliberation the idea of the Metaball League was born It was a sport modeled on early Earths basketball but where players have to ride a hoverboard The game was an instant hit and became the most popular sport all over the solar system People flocked to watch their favorite teams compete each game more thrilling than the last  Since the birth of Metaball all planets have risked everything to discover new players train them in the Metaball Academy and scout future star players The brave Men and Women who pass their graduation enter the professional league and are called Riders  As the popularity of the Metaball League grew so did the competition between Riders Each one fought tooth and nail to climb the ranks vying for a coveted spot in the top leagues The competition was fierce and only the most skilled Riders could hope to make it to the top  But the reward was worth the effort The topranked Riders gain access to a special shop where they can buy rare and powerful equipment giving them an edge over their opponents It was a cutthroat world and only the most determined and skilled could hope to make it to the top  And now its your turn to join the ranks of the elite You are a rookie Rider who graduated from the Metaball Academy with topnotch grades Take your place among the greatest Riders the world has ever seen and with grit and determination climb the ladder to the top The road ahead may be long and treacherous but the rewards are beyond measure  Are you ready to hone your skills claim riches and honor for yourself and your planet and become the best Rider,Join the ultimate sports league on Hoverboard In this fastpaced actionpacked sports game based on Basketball do impressive tricks and goals as you compete in thrilling PvP matches Collect different currencies and Rank points to unlock equipment and items Grab your Hoverboard and dominate the court
1694995200,"[14, 32]",244507,Dungeon Golf,[6],Dungeon Golf is a turnbased sports party game broadcasted to you live from DSN the ONLY television channel dedicated to dungeonrelated sports  Outplay your friends in local and online turnbased multiplayer or compete in singleplayer tours to prove youre the GUDGOAT Greatest Ultimate Dungeon Golfer of All Time Holes in one are for boring regular golfers real pros shoot for the Holes In None  Choose from a lineup of crazy dungeon golfers  from buff barbarian to wily wizard to  musical frog  Is that right Get Keith to doublecheck this before we add it to the marketing blurb  each with their own strengths weaknesses and unique powerful abilities then boost them with lucrative product placement sponsorship deals that make every round unique  Tour the world and see fabulous sights Battle Ratlings in the grand treasure halls of the Mountain Fortress avoid Fire Golems and lava pits in the treacherous Volcanic Forge and try not to get cursed and fall off the windy peaks of the Ancient Temple,Pick your golfer from a roster of whacky fantasy favourites in this mini golf party game Compete in online and local multiplayer or polish your putt in single player story mode Whack balls defeat monsters and get the upper hand with unique abilities to stay one swing ahead of your opponents
1694476800,"[10, 13, 14, 31, 32]",244505,Bikeout,[6],Missing,Take a bike and go on extreme tracks Bikeout Here you have to grow from a noob to a freeride legend
1695600000,[32],244493,Cats Hidden in Bali,[6],Missing,Find 100 cats hiding in Bali in this cute handdrawn hidden object game
1694131200,"[13, 15]",244354,City Idle,"[6, 82]",Missing,Experience a citybuilding game where the citizens are fully simulated and every decision you make impacts their lives From the Stone Age to the Iron Age and beyond watch your civilization evolve and progress under your guidance
1695859200,"[13, 15, 32]",244214,Randoville,[6],Missing,Randoville is a medieval chillbuilder where everything is decided by your luck Will you get a shabby hut or a gorgeous palace Throw D20 and find out
1695945600,"[4, 31, 32]",244141,Ninja Kidz: Time Masters,"[6, 48, 130, 167]",Missing,Americas most popular online ninja familys first video game is here Ninja Kidz Time Masters is a colourful action adventure for the whole family where you can play alone or together with friends Rescue the 3 greatest martial arts masters kidnapped by Dr Disaster
1694044800,"[13, 31]",243017,Void Crew,[6],Missing,In space no one can hear you scream  except your friends Rally your crew man your spaceship and prepare for an epic adventure Battle fearsome foes salvage valuable loot die repeatedly  while reclaiming humanitys lost territory together
1694390400,"[31, 32]",241786,Paw Paw Destiny,[6],Missing,Should not have been born A secret story that your buddy before meet you The experience of this artistic game is like a deep taste of aged Wine  good Cocktail  craft Beer
1694736000,"[5, 8, 31, 32]",241765,Project: Artificial Legacy Saga,"[6, 14]",1000 years ago humans were severed from their connection to the worlds magic Today Dr Asher has created a device that will once again allow humans to retap into it Codenamed Project Artificial Legacy the device will allow its user access to different powers when combined with one of four crystals But Evil forces from an unknown land have found out about the doctors discovery and have kidnapped him Its now up to his young daughter Kirana to use his prototype device and fight her way through an underground labyrinth to rescued him  Jump Push objects out of your way stop lavafalls and create blocks out of thin air all while avoiding dangerous creatures as you travel deep underground searching for the 4 keys that will unlock your path to rescue your father Along the way find the 3 missing crystals to unlock the full potential of the device and send them back enemies back to the world they came from In this NES style action game,Embark on journey through the Project Artificial Legacy Saga a fourpart series crafted to feel as if it was released across four console generations Follow Kirana on her heroic journey as she protects her family and her homeland from a mysterious evil force
1694736000,"[31, 32]",240822,Adventure Apple Robots,[6],Missing,Help the hero to find out why his brother is always running away explore this fantastic world and unlock new skills as he ventures
1694995200,"[25, 32, 33]",240803,Spell Disk,[6],,Build unique synergy spell combos to destroy the hordes of monsters and bosses in this roguelite action game
1694044800,"[13, 15, 32]",240786,Red Crucible: Phoenix Rising,"[6, 14]",Missing,No prisoners No mercy Smash and destroy your way to victory
1694649600,"[5, 32]",239709,Survivor Mercs,[6],In a world threatened by an evil megacorporations private robot army the last bastion of hope for mankind is a bunch of armed lunatics who signed up for a mercenary job And who would be a better leader than a disposable clone with an unpredictable set of very special traits Welcome to your new assignment Commander  Take the battle to the enemy and build your underfunded overambitious outfit into the apocalyptic war machine that rids the world of evil With all chances stacked against your mercenary operation this isnt about glory This is about the loot,Survive Loot Extract Repeat Master the individual quirks of over 1000 commanders Lead your merc squad against a relentless army Dominate the battlefield Get the loot  or die trying This roguelite bulletheaven extraction shooter tests your wits and skill Lock load  loot Commander
1694649600,[5],239561,Deceit 2,"[6, 48, 49, 167, 169]",Missing,Deceit 2 is the follow up to the social horror survival game Deceit Along with allnew content overhauled characters and gameplay innovations Deceit 2 will also mark the franchises debut on consoles with an upgrade in graphics
