first_release_date,genres,id,name,platforms,summary,storyline
1603324800,"[31, 32]",150681,Burning Mountain and Sea,[6],烈山海是一款以中国神话为背景的RPG游戏玩家在游戏中将扮演一位身负奇异命运的穿越者在机缘巧合之下来到山海境与神农夸父精卫等经典神话人物相遇一边改写他们的命运一边完成自己的冒险,Missing
1601596800,Missing,150679,Renegade: Arena Shooter,[6],Renegade is a fast first person shooter inspired by many older shooters such as Doom Aliens vs Predator Quake and many more,Missing
1603238400,[32],150537,Horror Movie Bingo,[6],Prepare to take your scary movie night to the next level of fun with Horror Movie Bingo See if you can spot enough horror film tropes to get 5inarow,Missing
1604016000,"[8, 32]",150517,Flea!,"[6, 18, 23, 82]",Flea is a challenging platformer with an intriguing back story Play as Henry the Hyperactive Flea who just cant stop jumping Navigate the beast and collect blood to get the the heart of the problems,Missing
1601596800,[32],150445,Guilt Free,[6],Guilt Free is a visual novel crossed with a point and click made to offer perspective on mental health and eating disorders Navigate a couples rocky relationship and encounter flaws or quirks that may actually be symptomatic behaviors,Missing
1602720000,"[31, 32]",150436,LongPath,[6],You accompanies the main protagonist in this actionpacked 2D rogue lite on his quest,Missing
1602892800,"[31, 32]",150434,Invasion 2: Doomed,[6],In the hidden object adventure Invasion 2 Doomed the Earthly day has suddenly become several minutes shorter and an abnormal hurricane zone has formed in the tropics Will you be able to save the earth from destruction,Missing
1602460800,[32],150412,Pursuit of the Bookkeeper,[6],Venture dark dungeons in a pursuit of the Bookkeeper Beware your only defence are spells and to cast them you need to look into your spellbook,Missing
1604016000,[31],150390,White Day VR: The Courage Test,[6],The Notorious cultclassic Korean horror White Day returns with a unique VR experience Step into the eerie darkness of classroom 11 and earn your place in the Occult Club by braving the horrors within Will you survive the courage test,Missing
1603152000,[15],150357,Chessers,[6],Chessers is a bastardized hybrid of Chess and Checkers Do you have what it takes to become the next Chessers grandmaestro,Missing
1602633600,"[10, 13, 32]",150350,Avanti: The Joy of Driving,[6],Drive different cars on different locations in first person driver view only Complete quests like getting a good racetime or for example slalom driving to unlock the next racetrack Or just drive for relaxing,Missing
1602115200,"[31, 32]",150323,Sasel RPG,[6],Missing,Missing
1604016000,"[13, 31, 32]",150311,Touhou Gensokyo Visitor,[6],Walking through the forest Reimu meets a stranger in the forest now she needs to understand where he came from and how he got through the barrier,Missing
