,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
58,"[8, 31, 32, 33]",76041,Miles & Kilo,"[6, 14, 37, 46, 48, 49, 130]",Missing,After their plane is downed by a mischievous specter Miles and Kilo must find a way to escape a haunted archipelago Help them run jump surf swing and slide their way through 36 levels in this fastpaced retro platformer,80.0,3.1,4.45,5.4,72.0,14.0,18.0
59,"[13, 31]",72420,The Exorcist: Legion VR,"[6, 165, 384]",Missing,The Exorcist Legion VR is an interactive VR experience set in the academyaward winning world created by horror maestro William Peter Blatty Each chapter features a unique demonic entity that will test your courage and resolve Available for HTC Vive and Oculus Rift Not for the fainthearted,80.0,2.5,2.83,3.11,67.0,3.0,8.0
60,"[12, 25, 31]",36506,Little Witch Academia: Chamber of Time,"[6, 48]",Having been inspired by a famous witch named Shiny Chariot an ordinary girl named Atsuko Akko Kagari enrolls at Luna Nova Magical Academy a prestigious school for young girls training to become witches Before starting summer vacation Akko and her new classmates find out about an inexplicable phenomenon at Luna Nova caused by the Seven Wonders which has been passed down for several centuries Now its up to Akko as she takes on the adventure to unravel the mystery surrounding the Seven Wonders,Little Witch Academia Chamber of Time is a heartpounding 3D action RPG beat em up featuring an original storyline carved from the popular anime series by Studio Trigger  Little Witch Academia Chamber of Time features main characters from the anime and original storylines for players to explore as they make their way through Luna Nova Magical Academy,79.73164231644579,16.64,38.75,62.21,53.0,9.0,23.0
61,[5],37031,Doom VFR,"[161, 163, 165]",Missing,Taking place after the events of Doom you take control of scientist who was killed during the initial demon invasion of Mars  Available for PlayStation VR and VIVE platforms this Doom adventure will bathe you in virtual carnage Developed by id Software the studio that pioneered the firstperson shooter genre and modern VR Doom VFR brings the fastpaced brutal gameplay fans of the series love to virtual reality Immerse yourself in the UAC facility on Mars and the depths of Hell as your skills are put to the test through intense combat and challenging puzzlesolving Play as a cybernetic survivor who is activated by the UAC to fight the demon invasion maintain order and prevent catastrophic failure at the Mars facility Lay waste to an army of demonic foes as you explore and interact with the outlandish world of Doom from an entirely new perspective,79.7185310635168,3.12,4.44,4.59,69.0,54.0,73.0
62,"[12, 31]",37134,.Hack//G.U. Last Recode,"[6, 48, 130]",hackGU begins after the events of the original hack series with players assuming the role of Haseo as he tracks down a powerful Player Killer named TriEdge who killed his friends ingame avatar Shino and put her in a coma in real life,A remastered collection of the hackGU series with Improved graphics systems and game elements This collection has an additional 4th volume continuing the story 16 months after the end of the 3rd game There is also a movie version of the story called hackGU Termination Disc that goes over the story of the first 4 hack games and acts as a prequel to the hackGU trilogy ending just before the first game begins It will also include an optional cheat mode that starts the player with maxed stats for those who just want to experience the story  hackGU is back better than ever Get ready to log back into hack as the beloved cross media franchise returns with enhanced graphics improved gameplay and brand new modes Join Haseo as he fights to discover whats reality in The World and save his friend Shino who was put into a coma in the real world by the Player Killer TriEdge  Celebrate the 15th anniversary of the franchise with the epic GU trilogy including the original hackGU titles  Rebirth Reminisce and Redemption  now with enhanced system features such as battle balance and game pacing,79.47281483266332,51.32,91.91,124.32,76.0,61.0,76.0
63,"[25, 31]",54167,LEGO Marvel Super Heroes 2: Deluxe Edition,"[6, 48, 49, 130]",Missing,Get the Deluxe Edition now and gain access to the main game and season pass content Join your favorite Super Heroes and Super Villains from different eras and realities as they go headtohead with the timetraveling Kang the Conqueror in the allnew original adventure LEGO Marvel Super Heroes 2 Play as the Guardians of the Galaxy SpiderMan Thor Hulk Black Panther Captain Marvel Doctor Strange Green Goblin and dozens of other Marvel Super Heroes and Villains in this cosmic battle across the timetossed city of Chronopolis Travel across lands  from Ancient Egypt to The Old West Sakaar and New York City in 2099  and transport objects or characters through the centuries And with new battle modes friends and family can play against each other in a series of themed challenges and battle arenas,77.7223861501099,,,,,,
64,"[12, 31]",37088,The Elder Scrolls V: Skyrim VR,"[6, 165]",Missing,A true fulllength openworld game for VR has arrived Skyrim VR reimagines the complete epic fantasy masterpiece with an unparalleled sense of scale depth and immersion From battling ancient dragons to exploring rugged mountains and more Skyrim VR brings to life a complete open world for you to experience any way you choose Skyrim VR includes the criticallyacclaimed core game and official addons  Dawnguard Hearthfire and Dragonborn,76.48153021032543,20.84,85.4,127.99,81.0,20.0,25.0
65,[5],28204,Call of Duty: WWII,"[6, 48, 49]",On June 6 1944 United States Army Private First Class Ronald Red Daniels of the 1st Infantry Division takes part in the storming of Normandy Beach with his squad consisting of Private First Class Robert Zussman who is his best friend Private Drew Stiles Technician Fifth Grade Frank Aiello Technical Sergeant William Pierson and First Lieutenant Joseph Turner During the operation Zussman is stabbed keeping him on the sideline  Zussman returns to duty to partake in Operation Cobra where the Allied forces successfully push to reclaim the town of Marigny The squad is ordered by Colonel Davis to conduct a joint operation with Special Operations Executive British officers Major Arthur Crowley and Vivian Harris to intercept a German train carrying V2 rockets near Argentan Daniels and Zussman derail the train before being escorted back to their squad by a French Resistance leader named Rousseau  A week later Rousseau and Crowley infiltrate a German garrison in Paris to retrieve explosives in preparation of the squads assault on the garrison Midway Rousseau kills SSund Polizeiführer Heinrich in retaliation for killing her family The squad then successfully liberates Paris  Two months later the squad takes over a Germanoccupied hotel in the city of Aachen They discover civilians inside the hotel and Turner orders their evacuation to Piersons dismay A young girl named Anna goes missing and Daniels searches for her German soldiers open fire on a truck carrying the civilians killing Annas older sister Pierson sends the truck away without protection creating a rift with Turner  At the Battle of Hürtgen Forest the platoon is ordered to take Hill 493 Turner splits the platoon into two groups Pierson and Zussman are tasked with advancing towards the hill while Turner and Daniels cover them until they can meet at the bottom Turners squad soon receives a transmission revealing that Pierson ordered an attack on the hill against Turners orders The platoon destroys an artillery position but the Germans counterattack with a Tiger II tank Daniels is knocked out trying to disable the tank which is destroyed by tank commander Staff Sergeant Augustine Pérez Turner is fatally wounded rescuing Daniels and orders Daniels to abandon him while he covers the platoons escape Pierson becomes head of the platoon and makes Daniels his secondincommand promoting him to Corporal  At the height of the Battle of the Bulge the platoon is surrounded by Germans Daniels meets an AfricanAmerican technician Howard who helps the platoon contact air support The platoon captures several German soldiers and discovering that the Germans were ordered to destroy a bridge at Remagen the last bridge over the Rhine After destroying the explosives in transit Pierson orders the platoon to attack a nearby air base to destroy the remaining explosives The attack fails resulting in Daniels and Zussman surrounded by enemy troops Daniels is saved by Howard while Zussman is captured and taken to a German POW camp Stalag IXB In Stalag IXB Zussman is interrogated on his Jewish heritage by SS officer Metz then beaten and sent to a POW labor camp Daniels is hospitalized due to his wounds  In the hospital Daniels learns from Davis about the events that changed Pierson in the Battle of Kasserine Pass After recovering Daniels confronts Pierson in his tent and tears up his honorable discharge papers in order to rejoin the platoon They successfully capture the last bridge over the Rhine The platoon heads into Germany liberating concentration camps in search for Zussman eventually reaching the Berga labor camp which they find abandoned The camps survivors were sent on a death march Daniels finds and saves Zussman by killing Metz before he can execute him  At the end of the war Daniels parts ways with his platoon and returns to Texas reuniting with his wife and newborn son Daniels names his son Joseph Turner to honor the late lieutenant He visits the grave of his older brother Paul who died fighting off a wolf to protect Red when the latter was still a kid He places his Bronze Star medal on the grave saying that his brother deserves it for showing him what it means to be a hero,Call of Duty WWII creates the definitive World War II next generation experience across three different game modes Campaign Multiplayer and CoOperative Featuring stunning visuals the Campaign transports players to the European theater as they engage in an allnew Call of Duty story set in iconic World War II battles Multiplayer marks a return to original bootsonthe ground Call of Duty gameplay Authentic weapons and traditional runandgun action immerse you in a vast array of World War IIthemed locations The CoOperative mode unleashes a new and original story in a standalone game experience full of unexpected adrenalinepumping moments,74.95713762235782,7.0,9.29,18.97,71.0,1065.0,1193.0
66,"[8, 31]",36836,Little Nightmares: The Hideaway,"[6, 48, 49]",Missing,The second of 3 DLCs that follows a new character The Runaway Kid during the events of the main game    The Kid has escaped the frying pan and is now in the fires of the engine room where one wrong step can lead to his doom Only by understanding tge Nomes does he have a chance of making head or tails of all the machinery barring his way out of the Maw But why are so many Nomes hiding here,70.61912158184997,1.17,1.24,1.33,72.0,103.0,125.0
67,"[9, 25, 31]",28815,LEGO Marvel Super Heroes 2,"[6, 14, 48, 49, 130]",Missing,LEGO Marvel Super Heroes 2 is an allnew original adventure and sequel to the smash hit LEGO Marvel Super Heroes Bringing together iconic Marvel Super Heroes and Super Villains from different eras and realities along with signature LEGO humor the latest adventure transports players into a cosmic battle across a myriad of Marvel locations ripped from time and space into the incredible open hub world of Chronopolis  Players will go headtohead with the timetraveling Kang the Conqueror in an epic battle across Chronopolis from Ancient Egypt and The Old West to Sakaar and New York City in 2099 Along the way gamers will be able to take control of a host of iconic characters from Cowboy Captain America from the past to SpiderMan 2099 from the future along with Thor Hulk the Guardians of the Galaxy Black Panther Captain Marvel Doctor Strange Green Goblin and dozens of other Marvel Super Heroes and Super Villains,70.12885819547871,12.7,24.69,58.8,69.0,160.0,236.0
68,"[12, 16, 25, 31, 32, 35]",18645,Hand of Fate 2,"[3, 6, 14, 48, 49, 130]",Hand of Fate 2 tells the story of the Dealers defeat return and revenge As in the original Hand of Fate adventurers explore a dark fantasy world built from collectible cards distributed by a magical dealer in a metaboard game Each overturned card reveals trials including thirdperson combat highrisk highreward minigames and Dungeons and Dragonsstyle decision making,Hand of Fate 2 is a dungeon crawler set in a world of dark fantasy Master a living boardgame where every stage of the adventure is drawn from a deck of legendary encounters chosen by you Choose wisely  your opponent the enigmatic Dealer will pull no punches as he shapes you into the instrument of his revenge  The table has changed but the stakes remain the same life or death  KEY GAME FEATURES  A world transformed  100 years have passed since the Dealer was usurped and the Game of Life and Death gained a new master  22 exciting new challenges that will push your deckbuilding skills to the limit  Hunt fiendish assassins reunite starcrossed lovers or build up a fortress to withstand a raider assault  Enlist the aid of all new companion characters  team up with them in battle or have them bend the rules of the boardgame in your favor  Hundreds of new encounters artifacts and items to earn and upgrade  Enhanced actionRPG combat  shred foes with quick dualwielded daggers or brutalize them with heavy twohanded hammers Build up your combo meter to unleash powerful special attacks  Engage new foes united by allnew card suits  Cross swords with disciplined Imperial soldiers purge corrupted mutants and fend off northern raiders,70.05265620307082,20.48,42.35,100.01,72.0,64.0,64.0
69,"[12, 13, 31]",85510,The Sims 4: Deluxe Party Edition,"[48, 49, 167, 169]",Choose how Sims look act and dress Determine how theyll live out each day Design and build incredible homes for every family then decorate with your favorite furnishings and décor Travel to different neighborhoods where you can meet other Sims and learn about their lives Discover beautiful locations with distinctive environments and go on spontaneous adventures Manage the ups and downs of Sims everyday lives and see what happens when you play out realistic or fantastical scenarios Tell your stories your way while developing relationships pursuing careers and life aspirations and immersing yourself in an extraordinary game where the possibilities are endless,Unleash your imagination and create a unique world of Sims thats an expression of you Explore and customize every detail from Sims to homes and much more with The Sims 4 Life and Sims are yours to control Customize your unique Sims design their homes  take them on wild adventures through celebdom romance holidays and more  The Sims 4 Deluxe Party Edition includes a copy of The Sims 4 Life of the Party digital content Up All Night digital content and Awesome Animal Hats digital content,70.0,,,,,,
70,"[8, 12, 31, 32, 33]",76023,Ghoulboy,"[6, 46, 48, 49, 130]",Missing,GhoulBoy is a retroinspired action platformer that combines the actionRPG genre with hack n slash gameplay Slay monsters collect loot avoid dangerous traps and defeat menacing bosses GhoulBoy brings back the look and feel of the very best classic retro platformers from the 90s introducing refreshed and engaging gameplay mechanics If you miss platformers from the 16bit era GhoulBoy is for you Ghoulboy is a retroinspired action platformer Explore a magical realm of dungeons towns treasures and devious monsters,70.0,2.58,3.61,4.63,60.0,13.0,11.0
