first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1228176000,45292,Prince of Persia: Limited Edition,"[9, 12]","[4, 8, 9, 31]",Prince of Persia takes place in an undefined ancient Persian citystate based heavily around the religion of Zoroastrianism A thousand years before the events of the game take place there was a struggle for power between the gods Ahriman and Ormazd The outcome of the struggle was that Ormazd and his people the Ahura managed to imprison Ahriman and his minions the Corrupted in a tree Ormazd then left the world leaving the Ahura to make sure Ahriman remains secure They are successful for a thousand years at which point the Ahura started to believe that Ahriman and Ormazd were myths due to their inactivity and most departed Shortly before the events of the game Ahriman is about to be freed again,Prince of Persia is an actionadventure and platforming video game developed by Ubisoft Montreal and published by Ubisoft It is part of the Prince of Persia franchise The game was released in the United States on December 2 2008 for PlayStation 3 and Xbox 360 and on December 9 2008 for Microsoft Windows It was later released on March 24 2009 for Mac OS X via the Cider engine The Limited edition includes goodies like wallpapers soundtrack guide etc,Missing,nan,nan,nan,nan,nan,nan
1229212800,44638,EyeToy Play Hero,[8],Missing,Missing,EyeToy Play Hero comes complete with a real toy sword for you to wield on your quest The EyeToy Camera will track your swords movements as you progress through your adventure,Missing,nan,nan,nan,nan,nan,nan
1230681600,43488,Singstar: Best of Disney,[8],[7],Missing,SingStar Singalong with Disney is a karaoke game featuring the most famous hits from Disney movies from Tarzan to Sleeping Beauty without forgetting Aladdin or Peter Pan    The game gives points which are distributed by the purity of singing as in how well does one manage to stay on tune It doesnt matter if you change octaves in the middle of the song or what words are you singing in it doesnt have a word recognition so your singing is rated by how well you manage to hit the correct note at the correct time,Missing,nan,nan,nan,nan,nan,nan
1229644800,43043,SingStar: Hits,[9],[7],Missing,SingStar Hits is the French release of SingStar Vol2 and is containing 27 French songs for 3 in English The tracklist is a mix between classic songs and new hits  Its a karaoke game giving points which are distributed by the purity of singing as in how well does one manage to stay on tune It doesnt matter if you change octaves in the middle of the song or what words are you singing in it doesnt have a word recognition so your singing is rated by how well you manage to hit the correct note at the correct time Theres a new mode called Harmony Duet in which two players sing different lines of the same song at the same time,Missing,nan,nan,nan,nan,nan,nan
1229385600,43005,Mortal Kombat vs. DC Universe: Kollector's Edition,[9],[4],Missing,The game takes place after Raiden Earthrealms god of thunder and Superman protector of Earth repel invasions from both their worlds An attack by both Raiden and Superman simultaneously in their separate universes causes the merging of the Mortal Kombat and DC villains Shao Kahn and Darkseid resulting in the creation of Dark Kahn whose mere existence causes the two universes to begin merging if allowed to continue it would result in the destruction of both Characters from both universes begin to fluctuate in power becoming stronger or weaker  Mortal Kombat vs DC Universe was developed using Epic Games Unreal Engine 3 and is available for the PlayStation 3 and Xbox 360 platforms It is the first Mortal Kombat title developed solely for seventh generation video game consoles Most reviewers agreed that Mortal Kombat vs DC Universe was entertaining and made good use of its DC Universe license but the games lack of unlockable features as opposed to past installments of Mortal Kombat and toneddown finishing moves garnered some criticism,Missing,nan,nan,nan,nan,nan,nan
1229126400,42754,Zero Pilot,[38],[13],Missing,Zero Pilot Daisanji Sekai Taisen 1946 is a Simulation game developed by Marionette and published by Global A which was released in Japan in 2008,Missing,nan,nan,nan,nan,nan,nan
1230076800,42745,DJMax Portable Black Square,[38],[7],Missing,DJMax Portable Black Square is a music game for the PlayStation Portable developed by South Korean developer Pentavision released on December 24 2008 This is the fourth major game of the DJMax series released for the PSP,Missing,0.0,100.0,0.0,100.0,2.0,1.0
1229212800,38447,Football Manager Handheld 2009,[38],[14],Missing,3D Match Engine  This years match engine has seen more testing than ever before having been extensively beta tested in Football Manager Live for the past year The famous Football Manager match engine can now be viewed in full 3D with motion captured animations the players Sports Interactive has been working on the 3D match engine with the support of SEGA Japans football development team who provided the motion capture data and some of the animations You can now watch your matches in 3D from multiple camera angles and rewatch any part of the match by fast forwarding and rewinding the action using a new match time bar that flags the key moments in the game The old 2d view of the match engine is still there especially for those people whose computers arent powerful enough to take advantage of the 3d views TV View Watch your matches in new full screen TV view and customise your match day screen with widgets to view the information you need as a football manager be it player performance match action zones pitch radar latest scores and many more Assistant Manager Feedback Prematch and inmatch feedback from your Assistant Manager on how the team is performing and your players motivation levels as well as hints on how your tactics are working and how you could outwit the oppositions tactics,Missing,nan,nan,nan,nan,nan,nan
1229558400,21830,Catan,"[9, 130]","[15, 26, 35]",Missing,Catan based on the popular board game Settlers of Catan is a game of production trading and building in which players compete to develop the most successful colony on the island,Missing,6.94,0.0,20.0,63.0,7.0,3.0
1228867200,21705,PowerUp Forever,"[9, 12]",[5],Missing,An endless dual stick shooter in which you powerup forever,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1229558400,21136,Crash Commando,[9],"[5, 8]",Missing,Crash commando is a fastpaced PlayStation 3exclusive sidescrolling shooter Obviously inspired by Worms and Soldat the large levels and small characters allow for hectic action in both single and online multiplayer modes,Missing,1.21,0.0,0.0,76.0,4.0,2.0
1230076800,20396,Savage Moon,[9],"[11, 15]",Missing,Savage Moon is a tower defense strategy game which sees the player protecting a remote offworld mining facility from constant attack by Insectocytes a type of carnivorous creature inhabiting the planets The mission is to strategically place an array of upgradeable defensive weapons in the way of the bugs There is a range of towers from rapidfire machine guns to support towers such as the chaos tower,Missing,18.0,0.0,18.0,63.0,4.0,3.0
