first_release_date,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1675123200,146957,Undisputed,"[6, 48, 49, 167, 169]",Become Undisputed in the most authentic boxing game to date Featuring true to life visuals bonejarring action and more licensed boxers than ever before Undisputed gives you unprecedented control to master every inch of the ring,eSports Boxing Club is a realistic boxing game made from the groundup with the professional boxing community  In ESBC you will rise through the Amateur system going through the professional ranks to win the coveted Lonsdale Belt then going onto Continental and World titles featuring officially licensed governing bodies  Not only will you be levelling up your fighter through winning fights you will also have to hire your own staff  Trainer Cutman Nutritionist and Promotor There are also reallife boxing gyms in ESBC each with their own fight styles and traits  Choose your own path towards a World Title will you go through the ranks and not duck anyone Or choose your fights as riskfree as possible Each decision will have consequences for your career  In the ESBC Tournament  You will have the chance to be crowned the eWBC Champion of the World with the physical belt being sanctioned by the World Boxing Council,"[4, 13, 14, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1674691200,143895,Roller Drama,"[6, 34, 39, 48, 130, 167]",Play this storydriven adventure game where you live with five Roller Derby athletes as their coach and hopefully friend yes its a sitcom  Also manage realtime fullcontact matches on skates team results and life debacles are all part of the story Performance is a mindset,Missing,"[12, 14, 15, 31, 32, 33]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1674777600,143529,Alice Escaped!,"[6, 48, 130]",Alice Escaped is a 2D action and exploration game Follow the advenctures of the two girls Usada and Kotora who wander into a strange world of grimoires chasing after Alice  What awaits them there are mysterious characters based off of Alice in Wonderland the Cheshire Cat the Mad Hatter and Humpty Dumpty  but are they really the enemy And why does the White Rabbit guiding them have a zipper on his back  Finally who is the enigmatic girl hiding Alice in the deepest part of the world Just why do they find themselves trapped inside and Oh youll need to find out the rest for yourself,Missing,"[8, 9, 13, 31, 32]",Missing,6.12,0.0,12.27,79.0,4.0,6.0
1675123200,141541,Season: A Letter to the Future,"[6, 48, 167]",Close your eyes take a deep breath and let yourself be carried away by the great journey of Season a thirdperson atmospheric adventure bicycle road trip game Explore the world through the eyes of a young woman Collect artifacts and memories before a mysterious cataclysm washes everything away,High in the mountains there is a village safe from the turmoil of changing seasons No one has left in a generation no one until Estelle In her world a season is a period of history an era This season is about to end Riding off into the unknown she leaves her home to try to capture this moment for the future Estelle navigates through a strange yet familiar world witnessing life on the brink of an impending but mysterious change,"[12, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1673481600,121730,Breakers Collection,"[6, 48, 49, 130, 167, 169]",Breakers Collection includes two cultclassic Japanese 2D arcade fighting games It also adds brandnew content quality of life improvements and even an online multiplayer mode to mark the triumphant launch of the franchise on modern home consoles,Missing,"[4, 33]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1673395200,121016,Children of Silentown,"[6, 48, 49, 130, 167, 169]",Children of Silentown is a dark adventure game that tells the story of Lucy a young girl growing up in a village deep into a forest inhabited by monsters People disappearing is nothing uncommon in the village but this time Lucy is old enough to investigate on her own Or so she thinks,Missing,"[2, 9, 31, 32]",Missing,7.3,7.63,11.36,71.0,19.0,25.0
1674691200,119089,OddBallers,"[6, 48, 49, 130, 167, 169]",Fast and frantic multiplayer dodgeball that will put both skills and friendships to the test with hilarious surprises and brutally unfair tactics,Missing,"[13, 14, 31, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1673913600,92486,Re:Call,"[3, 6, 14, 48, 49, 130, 169]",In ReCall memories are malleable and changing them will modify the present Tackle mindbending puzzles that rely on altering your own recollections to shape the future,In RECALL your actions inside flashbacks have immediate consequences in the present moment Tackle mindbending puzzles that rely on altering your own memories to shape the future  Change your memories change the present,"[9, 31, 32, 34]",Missing,nan,nan,nan,nan,nan,nan
1675123200,74653,8-Bit Adventures 2,"[3, 6, 14, 48, 49, 130, 167, 169]",8Bit Adventures 2 is everything you love about NES SNES and PS1era JRPGs  with all of the charm heart and soul but none of the inconvenience Dynamic turnbased battles  pixels with personality,8Bit Adventures 2 is an allnew RPG experience that mixes modern design with retro style  Explore a vast and varied world brought to life by vibrant 8Bit graphics memorable NESaccurate music and people with personality Players can enjoy strategic fastpaced combat that focuses on unique character traits swapping party members managing the turn order and using a variety of unique skills including powerful Omega Bursts  no mandatory grinding required  The antagonist takes the form of a video game glitch Faced with erasure the Glitch lashes out distorting the world and threatening its people Its up to the players party of 7 distinct characters 3 returning 4 brand new to undo these distortions and defeat the Glitch But to do so theyll have to brave dozens of dungeons defeat deadly enemies and even travel to other worlds,"[12, 31, 32]",Missing,24.0,30.0,32.0,80.0,1.0,4.0
1674604800,59738,Haru Kiss,[48],Shuujis grades have taken a hit since he played around too much so his cousin Tsubame decides to take him in to keep an eye on him But since shes usually busy with work he ends up taking care of the house along with younger cousin Aoi He wishes to become independent soon At this time he helped his classmate Itsuki and became pretend lovers with her Then his younger sister Konomi came to see him along with the daughter of his judo teacher and his childhood friend Amane What kind of a future awaits him,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1674777600,159119,Dead Space,"[6, 167, 169]",The scifi survival horror classic Dead Space returns completely rebuilt from the ground up by Motive Studios to offer a deeper and more immersive experience Harnessing the power of the Frostbite game engine and next generation consoles this remake brings jawdropping visual fidelity and improvements to gameplay while staying true to the original,Isaac Clarke is an everyman engineer on a mission to repair a vast sprawling starship the USG Ishimura only to discover something has gone horribly wrong The ships crew has been slaughtered and infected by some alien scourgeand Isaacs beloved partner Nicole is lost somewhere on board  Now Isaac is alone with only his tools and engineering skills as he attempts to uncover the nightmarish mystery of what happened aboard the Ishimura Trapped with hostile creatures called necromorphs Isaac faces a battle for survival not only against the escalating terrors of the ship but his own crumbling sanity,"[5, 12, 31]",85.67222807257852,11.9,15.39,27.8,88.0,500.0,809.0
1673481600,194837,One Piece Odyssey,"[6, 48, 167, 169]",One Piece Odyssey is an RPG that puts players in control of Luffy and the other Straw Hat Pirates in an open world You can travel around an island embarking on quests exploring dungeons solving puzzles and battling creatures in turnbased combat During fights the crew is divided up between active members and reserve members All characters receive EXP regardless of whether they are part of the active party or not,The famed pirate MonkeyDLuffy and his Straw Hat Crew are sailing across the New World in search of the next island and the next adventure that awaits them But during their voyage they are caught in a storm and shipwrecked They find themselves washed up on a lush tropical island surrounded by constantly raging storms Separated from his crew Luffy sets off on a grand new adventure to find his friends and escape the island,"[12, 31]",85.34731093079564,33.6,43.72,59.15,71.0,49.0,90.0
1674691200,233571,Hitman World of Assassination,"[6, 48, 49, 165, 167, 169]",Become Agent 47 in the ultimate spythriller adventure across more than 20 locations  Hitman World of Assassination brings together the best of Hitman Hitman 2 and Hitman 3 including the main campaign contracts mode escalations elusive target arcades and Hitman Freelancer,Missing,"[5, 24, 31]",83.38842975206612,23.26,46.77,171.47,86.0,73.0,94.0
1675123200,171219,SpongeBob SquarePants: The Cosmic Shake,"[6, 48, 49, 130, 167, 169]",Wishgranting Mermaids Tears in the hands of SpongeBob and Patrick What could go wrong Sure the very fabric holding the universe together could come undone opening portals into wild Wishworlds But thats nothing our favorite sponge cant handle with the right cosmic costume,Wishgranting Mermaids Tears in the hands of SpongeBob and Patrick What could possibly go wrong Sure the very fabric holding the very universe very together could come very undone opening up portals into Wishworlds full of knights cowboys pirates and prehistoric snails But thats nothing everyones favorite sponge cant handle  with the right cosmic costume Everybody do the Cosmic Shake  SpongeBob and Patrick meet the mysterious fortune teller Kassandra who gives them a vial full of Mermaids Tears Legend claims they grant the wishes of those who are pure of heart Naturally the two best buddies get overexcited and their flurry of wishes tears open the very fabric of space and time All while releasing Cosmic Jelly onto Bikini Bottom and opening portals to strange Wishworlds in the process Now its up to our heroes to rescue their friends who got lost in the Wishworlds and bring back Bikini Bottoms most iconic buildings But Kassandra has her own devious plan,"[8, 31]",77.57649944610725,7.04,9.29,15.07,74.0,86.0,132.0
1674086400,110039,A Space for the Unbound,"[6, 14, 48, 49, 130, 167]",A comingofage adventure where you follow two high school sweethearts on a journey of selfdiscovery at the end of their high school years while facing the end of the world Explore 90s Indonesian town uncover its secrets use supernatural powers to dive into peoples hearts and pet cats,Follow two high school sweethearts Atma and Raya on a journey of selfdiscovery at the end of their high school years When a mysteriously supernatural power is suddenly unleashed threatening their existence they must explore and investigate their town to uncover hidden secrets face the end of the world and perhaps learn more about each other  Set in a small town inspired by 90s era rural Indonesia A Space for The Unbound presents an endearing storydriven experience with a vibrant environment waiting to be explored,"[9, 31, 32]",71.14870094297017,9.9,10.71,13.21,83.0,53.0,85.0
1674518400,134583,Forspoken,"[6, 167]",Forspoken follows the journey of Frey a young New Yorker transported to the beautiful and cruel land of Athia In search of a way home Frey must use her newfound magical abilities to traverse sprawling landscapes and battle monstrous creatures,Forspoken follows the journey of Frey a young New Yorker transported to the beautiful and cruel land of Athia In search of a way home Frey must use her newfound magical abilities to traverse sprawling landscapes and battle monstrous creatures,"[12, 31]",61.68553118224882,14.13,24.6,55.0,65.0,121.0,229.0
1673308800,125626,KartRider: Drift,"[6, 34, 39, 48, 49, 169]",KartRider Drift is the only freetoplay crossplatform kart racer where arcade thrills and the fastest drift fueled competition meet deep playercreated kart and character customization No limits All drift,Challenge your friends across platforms with no barriers no Pay Walls  no Pay To Win elements preventing you from having a great time while topping the leaderboards Created from the ground up for dynamic online gameplay theres new content being added regularly and huge content updates every season,"[10, 14]",50.71367280160314,0.0,0.0,0.0,61.0,7.0,0.0
