,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
39,"[12, 31]",251559,Vampire: The Masquerade - Justice,"[386, 390]",You are a vampire You strike from the shadows and drink the blood of both mortal and vampire prey In a gritty main narrative that includes several side missions and dialogue options explore a dark and mysterious Venice to improve your abilities and become the ultimate arbiter of justice,Missing,0.0,0.0,0.0,0.0,0.0,0.0
40,"[9, 13, 15, 31, 32]",250826,Pixel Cafe,"[6, 48, 49, 130, 167, 169]",Join a smalltown girl on this comingofage story about family relationships coffee and life in the big city Immerse yourself in the perfect blend of an arcadestyle time manager and visual novel exploring dual storylines and a beautifully crafted pixel art world in Pixel Cafe,Missing,0.0,0.0,0.0,0.0,0.0,0.0
41,"[5, 8, 12, 31]",250172,The Smurfs 2: The Prisoner of the Green Stone,"[6, 48, 49, 130, 167, 169]",With your crack team and the help of the SmurfoMix liberate the village of the Smurfs from the grip of the Green Stone,Missing,8.24,0.0,0.0,70.0,1.0,2.0
42,Missing,247191,PlateUp!: Collector's Edition,"[130, 167, 169]",PlateUp Collectors Edition includes  Game PlateUp  4 Mini Figurines,Missing,,,,,,
43,"[8, 9, 15, 31, 33]",246564,KarmaZoo,"[6, 130, 167, 169]",Share the love and die trying KarmaZoo is a joyful altruistic cooperative platformer where up to 10 random players help each other with the unique abilities of 50 different characters  all for the sake of good Karma,KarmaZoo is about helping people working together and finding bliss in cooperation  especially when things go wrong Make meaningful connections with completely random players online as they are all striving alongside you to earn the most precious resource of all Karma,0.0,0.0,0.0,0.0,0.0,0.0
44,"[8, 31, 32]",244457,Ebenezer and the Invisible World,"[6, 48, 49, 130, 167, 169]",Embark on a storyrich 2D Metroidvania adventure with breathtaking handdrawn art playing as miserturnedhero Ebenezer Scrooge in a reimagined Victorianfantasy based on Charles Dickens classic novel A Christmas Carol Enlist the help of ghosts to save the people of London before its too late,Join Ebenezer Scrooge and a team of spectral allies as they battle to save London from the clutches of the wealthy industrialist Caspar Malthus and his militant Private Guard With each Ghost lending their unique abilities explore the dark corners of London and uncover the sinister influence of the Dark Spirit and an army of Unrepentant Ghosts Will you have the courage to confront Caspar and stop his malevolent plans before it is too late,0.0,0.0,0.0,0.0,0.0,0.0
45,[31],239407,UFO Robot Grendizer: The Feast of the Wolves,"[6, 48, 49, 167, 169]",For the first time in the video game history climb aboard Grendizer the Legendary Robot and fight the forces of evil to defend our planet Earth,Missing,0.0,0.0,0.0,0.0,0.0,0.0
46,"[4, 31]",239385,Naruto x Boruto: Ultimate Ninja Storm Connections,"[6, 48, 49, 130, 167, 169]",The next exciting entry in the STORM series celebrating the 20th anniversary of Narutos anime debut releases 2023 The game features new playable characters in addition to the 124 ninjas from past series Plus it connects key moments from the first four STORM entries into one game for the first time,Missing,8.0,0.0,18.0,70.0,1.0,2.0
47,"[8, 31, 32]",237349,Tevi,"[6, 48, 49, 130]",A new game from the creators of RabiRibi embark on an epic actionadventure as you slash dash and combo your way through a sprawling land scarred by conflict Explore and discover hidden secrets Customize your build to triumph in spectacular boss fights and unravel the mysteries of the world in TEVI a bullet hell metroidvania,Welcome to Az where our adventure begins This sprawling continent is full of myth and magic and is home to three main races magicwielding humans animaleared beastkin and biomechanical hybrids called magitech Azs unique blend of magical and technological advancements has shaped its long and storied past from ancient civilizations to modern societies However conflicts between factions have scarred the land and its people Despite this the vast geography and diverse biomes of Az are teeming with life both friendly and hostile  Situated across the continent are five major cities The palatial city of Ana Thema has long been the seat of human power while the beastkin toil in the industrial hub of Morose Beyond them lies the frozen tundra of Snowveil the towering spires of Valhalla in the sky and the dark depths of Tartarus Each place in Az has its own secrets mysteries and stories to tell  The heroine of the story Tevi is a selfproclaimed genius engineer who sets out on a journey with her companions to uncover the truth about Astral Cogs in order to assist her fathers research,,,,,,
48,[31],223863,Tintin Reporter: Cigars of the Pharaoh,"[6, 48, 49, 130, 167, 169]",Tintin and his faithful companion Snowy are going to experience some extraordinary adventuresAfter meeting Professor Sarcophagus whilst cruising the Mediterranean Sea the famous reporter sets out in search of the tomb of the Pharaoh KihOskh,Missing,12.88,0.0,0.0,45.0,2.0,2.0
49,"[12, 25, 31]",217624,Like a Dragon Gaiden: The Man Who Erased His Name,"[6, 48, 49, 167, 169]",This game covers Kiryus story between Like a Dragon 7 and Like a Dragon 8,Missing,9.36,18.54,29.81,83.0,60.0,119.0
50,"[11, 13, 15]",215915,Dungeons 4,"[6, 167, 169]",The Absolute Evil and its trusted cough servant the Dark Elf Thalya return in Dungeons 4 after the events of its fabulous predecessor to bring about their triumph over the forces of good once more,Missing,0.0,0.0,0.0,0.0,0.0,0.0
51,"[8, 12, 15, 16, 31]",214709,Worldless,"[6, 48, 49, 130, 167, 169]",Worldless is a stylised 2D Adventure Platformer with turnbased combat and a mindbending interpretative narrative Players will walk the line between physical and astral planes within a shapeless world embarking on a journey of selfgrowth and understanding,Worldless is set at a time where the rules of existence remain undefined Players will explore a shapeless world of two realms one filled with entities forming their growth and understanding the other is the place they aspire to This inevitably thrusts them into a war against polarities in a battle for transcendence  In this 2D Action Adventure Platformer players will jump glide and dash through an indeterminate setting uncovering its secrets and finding their place within a mindbending reality  Along the way are encounters with beings who believe their superiority has automatically earned them a place in the next existence Using turnbased rules along with a unique defend and combination system that requires patience timing and the desire for development your strength and capabilities will truly be put to the test,0.0,0.0,0.0,75.0,1.0,0.0
