first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1682467200,241040,Neko Rescue Tale,"[48, 49, 130, 167, 169]",Missing,Scurry through the seasons in search of your lost feline friend,"[8, 9, 31]",Missing,nan,nan,nan,nan,nan,nan
1681171200,240984,Sherlock Holmes: The Awakened - Deluxe Edition,"[6, 48, 49, 130, 167, 169]",Missing,The Deluxe Edition Includes  Sherlock Holmes The Awakened  Exclusive PreLaunch DLC  The Sleuths Attire 3 costumes  Set of digital wallpapers  The Whispered Dreams Side Quest Pack,"[9, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1681171200,240981,Sherlock Holmes: The Awakened - The Whispered Dreams,"[6, 48, 49, 130, 167, 169]",Missing,Unlock exciting side cases that expand the world of The Awakened beyond the main adventure Enjoy new stories mysteries and investigations sure to satisfy your hunger for more detective work You will need all of your investigative skills to unravel these baffling mysteries and uncover the extraordinary truths behind them,"[9, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1681862400,240771,Dysmantle: Doomsday,"[6, 48, 49, 130]",Missing,Board a mysterious flying cargo drone and enter a hidden archipelago holding a deadly secret Discover scientific experiments gone awry and utilize new technologies to stave off doomsday,"[12, 13, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1682035200,240179,Moe Waifu H,"[48, 130, 167]",Missing,Feel the rhythm of her heart in a quickthinking match game,"[7, 9]",Missing,nan,nan,nan,nan,nan,nan
1681344000,239612,Kill It With Fire VR,"[163, 165, 386, 390]",Missing,The spider Usually hairy often poisonous and ALWAYS up to something Take your arachnophobia to new heights in Kill it With Fire VR and deal with spiders by any means necessary,"[5, 13, 31, 32]",Missing,nan,nan,nan,nan,nan,nan
1680566400,239419,Creed: Rise to Glory - Championship Edition,[390],Missing,Immerse yourself in the pulsepounding excitement of boxing with the cinematic thrill of a blockbuster movie as you step into the ring as an aspiring boxing champion train under Rocky Balboa fight familiar and unexpected contenders across dynamic arenas and establish your boxing legacy  Championship Edition brings an enhanced and expanded experience for new and seasoned Creed players alike with additional game content features quality of life upgrades and PvP crossplatform support,"[4, 13, 14]",Missing,nan,nan,nan,nan,nan,nan
1680652800,236672,Disney Dreamlight Valley: Pride of the Valley,"[6, 48, 49, 130, 167, 169]",Missing,Take a step through the castles next doorway and get ready to take in the beauty of the Lion King realm Not only will you get to immerse yourself in a brand new mysterious storyline as you explore this realm but it will also mark Simba and Nalas introduction to Dreamlight Valley And was that a new recipe we spied Only time will tell With two more new faces to look forward to welcoming to your village heres hoping Scar behaves himself,Missing,Missing,nan,nan,nan,nan,nan,nan
1682380800,234215,Afterimage: Deluxe Edition,"[6, 48, 49, 130, 167, 169]",Missing,Metroidvania made as an action platform game In Afterimage we play the role of an adventurer who travels across the fantastic land of Engardin searching for its secrets solving its problems and facing numerous dangers  Afterimage Deluxe Edition includes  Base Game  Digital Soundtrack  Digital Artbook  Reversible Cover Sheet,"[8, 25, 32]",Missing,nan,nan,nan,nan,nan,nan
1681776000,233904,Mercenaries Lament: Requiem of the Silver Wolf,"[48, 130, 167]",Missing,Mercenaries Lament is a tactical simulation RPG set in a fantasy world,"[12, 13, 15]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1681776000,233678,Minecraft: Legends - Deluxe Edition,"[6, 48, 49, 130, 167, 169]",Missing,Includes the base game and six additional skins,Missing,Missing,nan,nan,nan,nan,nan,nan
