first_release_date,id,name,platforms,summary,genres,storyline,rating
1519776000,86448,Razerwire:Nanowars,"[6, 14, 49, 130]",A modern revisitation of the 80s arcades Use your Razerwire to cut through waves of nanobugs with a roguelike inspired progression,"[5, 13, 32, 33]",Missing,70.0
1518480000,74524,Football Game,"[6, 46, 48, 49, 130]",You are Tommy A local high school footballing hero the town of East Bend is your playground Its game night for the Purchase County Turbines and your sweetheart is waiting in the bleachers Join Tommy for a night that you wont forget,"[2, 31, 32]",Missing,70.0
1519689600,68383,Hellmut: The Badass from Hell,"[6, 48, 49, 130]",Hellmut The Badass from Hell is a fastpaced bulletstorm dungeon crawler Use absurd Transformations to defeat demonic hordes challenge random bosses in random levels equip powerful guns loot valuable treasures and basically murderize a shockingly large number of demons,"[5, 32, 33]",Missing,70.0
1519084800,65837,Hand of the Gods,"[6, 48, 49]",Command the Gods strategically position your forces and unleash divine powers to defeat your foes in the new turnbased strategy CCG from the makers of SMITE and Paladins,[15],Missing,70.0
1519603200,44289,Vicious Attack Llama Apocalypse,"[6, 49]",The worlds best mass llamaslaughter roguelikeliteish couch coop twinstick topdown shooter,[32],Missing,70.0
1518048000,36972,Attack of the Earthlings,"[3, 6, 14, 48, 49]",Attack of the Earthlings combines turnbased combat and stealth in a dark comedic single player campaign where you the player take control of the native alien race to defend your homeworld from the invading humans,"[15, 16, 32]",Missing,70.0
1519257600,129877,Fortnite: Season 3,"[6, 48, 49]",The storyline began around this season with players spotting a comet later revealed to be a meteor in the sky Many players speculated that the meteor would hit and destroy Tilted Towers and it did destroying one of the central buildings by a small meteor As Season 4 begins a big meteor got rid of Dusty Depot and turning it into Dusty Divot  The games user base increased around this season,[5],Missing,69.98009950248756
1518048000,74500,Monster Energy Supercross: The Official Videogame,"[6, 39, 48, 49, 130]",Live the adrenaline and the excitement of the 2017 Monster Energy Supercross Championship with Monster Energy Supercross The Official Videogame,"[10, 13, 14, 33]",Missing,69.87769761929506
1519689600,28692,Mulaka,"[6, 14, 48, 49, 130]",Dive into northern Mexicos breathtaking landscapes with Mulaka a 3D actionadventure game based on the rich indigenous culture of the Tarahumara Renowned for their impressive running abilities embark on the journey of a Sukurúame  a Tarahumara shaman  as you fight back the foulness corrupting the land while drawing upon the powers of demigods From solving puzzles in environments inspired by real Sierra Tarahumara locations to heated handtohand combat with creatures pulled from the regions mythology find out why the Tarahumara have earned a reputation for being superhumans,"[8, 31, 32]",Missing,69.13502723494032
1518048000,36515,Sword Art Online: Fatal Bullet,"[6, 48, 49]",Sword Art Online Fatal Bullet is a Third Person Shooter RolePlaying Game TPSRPG scheduled to be released on February 8 2018 on the PlayStation 4 XBox One as well as Personal Computers PCs via Steam The game is being developed by Dimps based on Unreal Engine 4 and will be set in Gun Gale Online It will be the first Sword Art Online TPSRPG and the first Sword Art Online game on the XBox One platform,"[5, 12]",The game will follow the events of Sword Art Online Hollow Realization Gun Gale Online was released by Zaskar following the advent of The Seed The Death Gun incident will take place in the game but the story will be different from the canon version There will be some new events and players can obtain an element that has not appeared in the canon universe,67.6012393704181
1519776000,15823,Where the Water Tastes Like Wine,"[3, 6, 14, 48, 49, 130]",Where the Water Tastes Like Wine is a NarrativeAdventure game about traveling sharing stories and surviving manifest destiny Featuring gorgeous handdrawn illustrations Where the Water Tastes Like Wine combines 2D visuals with a 3D overworld US map,"[9, 12, 31, 32]",Players wander across a folkloric Depression era United States at their own pace meeting strangers with their own stories to tell Through these interactions players will be able to collect unique stories which can then be retold to unlock new interactions In this way the ingame stories themselves act as a currency to progress through the game and its up to the player to pair the right story with the unique needs of each of the characters that you will encounter throughout your travels Only through these right pairings will characters reveal their true selves and bestow you with the most powerful stories the true ones which reveal something about their own lives In Where The Water Tastes Like Wine stories organically take on a life of their own as they grow larger and transform as theyre told and retold,66.5864027116642
1517529600,54486,We Were Here Too,"[3, 6, 14, 48, 49]",We Were Here Too is an online only firstperson cooperative adventure set in a fictional medieval castle The survivors find themselves in a drastically different scenario One is trapped in what seems like a royal court while the other finds themselves in an abandoned tomb Once again all they have is a walkietalkie with a familiar voice on the other end  Do you have what it takes to survive the castle together with your friend,"[9, 31, 32]",In 1536 there was a vivid kingdom ruled by King Bartholomeus of AmberAdelaide and his family It was the time of monarchs and the king made sure that was well known He ruled together with his wife Queen Leonora and his two daughters and got advice from his 4 generals whose loyalty was questionable  Then death drew a veil of melancholy through the halls of Castle Rock and made them colder than ever before  In We Were Here Too you and your partner go back to Castle Rock to rescue your friends from the quarters of the first general Warden Brutus  Dark secrets are unveiled when you enter the castle Once a place of death now the spirits of the lost ones return to their home and they make sure you wont leave the castle alive,66.53836434692423
1517529600,75297,EA Sports UFC 3,"[48, 49]",EA SPORTS UFC 3 revolutionizes authentic fighting movement with Real Player Motion Tech a new animation technology that delivers the most responsive and authentic athletic motion in sports gaming Every punch kick block and counter has been recaptured and rebuilt on cuttingedge motioncapture tech to look and feel lifelike and responsive delivering a more competitive fighting experience In GOAT Career Mode players must build fight hype to gain fans earn cash to train at new gyms and create heated rivalries with other fighters to capture the worlds attention How you promote outside of the Octagon matters as much as how you perform inside of it as you progress to becoming the Greatest of All Time In addition an allnew suite of customizable multiplayer modes let you and your friends get into the Octagon and face off in fast fun intense pickupandplay bouts where a highlightreel knockout is always only one strike away and victory happens in the blink of an eye,"[4, 14]",Missing,63.63934261436681
1517788800,61884,Regions of Ruin,"[3, 6, 14, 48, 49, 130]",Regions of Ruin is a 2D pixel sidescrolling RPG with townbuilding where you explore fight and build into an open world that progressively challenges you and your settlement and threatens the extinction of the dwarven race,"[4, 8, 12, 13, 15, 31, 32]",Missing,60.54061152289379
1518566400,96642,Super Weekend Mode,"[6, 14, 46, 48, 49, 130]",No matter how you look at it there is nothing nice about stealing and unfortunately for a princess shes going to have to learn this the hard way when that guy claims her possessions for himself and sets off with them Desiring to reclaim what is lost Super Weekend Mode is a cutesy looking game where hearts must be caught bunnies must be crushed and the bad need to be shot We will see a princess chasing a thief through the labyrinths of despair in a bid to get her belongings back,"[5, 32, 33]",Missing,60.31078094075106
1517875200,46450,Middle-earth: Shadow of War - The Blade of Galadriel,"[6, 48, 49]",The Blade of Galadriel is a DLC to Middleearth Shadow of War that allows gamers to play as the elite Elven warrior Eltariel for the first time Known by her enemies as the Blade of Galadriel Eltariel is a deadly assassin working for the Elven Queen Galadriel and has been sent to Mordor for millennia to hunt the Nazgûl  The Blade of Galadriel DLC features the following content  Play as Eltariel for the first time an elite assassin known as the Blade of Galadriel and go headtohead with the newest addition to the ranks of the Nazgûl  Wield Eltariels dual Elven blades and harness the Light of Galadriel with a host of deadly new combat abilities skills and gear  Encounter memorable new Nemesis characters such as Flint Tinder and the Slayer of the Dead while battling the Nazgûl and learning more mysteries of their past  Gain eight unique Legendary Orcs who can return to join your forces in the main story campaign with new abilities added to the Nemesis System  Unlock an Eltariel character skin that can be used in the main story campaign,"[12, 31]",Missing,60.23225696725006
1519257600,86362,Abo Khashem,"[6, 48, 49]",Start your adventure in the City of Torrid Fight enemies in a whole new way develop your entrepreneurial skills explore dangerous dungeons and discover hidden treasures Experience the captivating journey of Abo Khashem,"[12, 31, 32]",Missing,60.0
1519171200,86328,Gleaner Heights,"[3, 6, 49, 130]",Experience the oldschool charm of classic farming games with the suburban gothic atmosphere of certain 90s TV shows along with contemporary game mechanics Farming crafting combat romantic relationships and mysterious events await,"[12, 13, 31, 32]",Missing,60.0
