first_release_date,id,name,platforms,summary,genres,storyline
1700179200,252729,Persona 5 Tactica,"[6, 48, 49, 130, 167, 169]",After a strange incident the Phantom Thieves wander into a bizarre realm where its citizens are living under tyrannical oppression Surrounded by a military group named Legionnaires they find themselves in grave danger until a mysterious revolutionary named Erina rescues them and offers an enticing deal in exchange for their help What truth lies behind Erina and the deal she offers to the Phantom Thieves,"[12, 13, 15, 24]",Missing
1700006400,252357,Lake: Season's Greetings,"[6, 48, 49, 167, 169]",Its Christmas time 1985 Thomas Weiss spends the final few days of the year as hes always been doing delivering mail and celebrating Christmas with his friends and family in Providence Oaks However this holiday season turns out a quite a bit different than expected,"[31, 32]",Missing
1701302400,250826,Pixel Cafe,"[6, 48, 49, 130, 167, 169]",Join a smalltown girl on this comingofage story about family relationships coffee and life in the big city Immerse yourself in the perfect blend of an arcadestyle time manager and visual novel exploring dual storylines and a beautifully crafted pixel art world in Pixel Cafe,"[9, 13, 15, 31, 32]",Missing
1698883200,250172,The Smurfs 2: The Prisoner of the Green Stone,"[6, 48, 49, 130, 167, 169]",With your crack team and the help of the SmurfoMix liberate the village of the Smurfs from the grip of the Green Stone,"[5, 8, 12, 31]",Missing
1698969600,247191,PlateUp!: Collector's Edition,"[130, 167, 169]",PlateUp Collectors Edition includes  Game PlateUp  4 Mini Figurines,Missing,Missing
1699920000,246564,KarmaZoo,"[6, 130, 167, 169]",Share the love and die trying KarmaZoo is a joyful altruistic cooperative platformer where up to 10 random players help each other with the unique abilities of 50 different characters  all for the sake of good Karma,"[8, 9, 15, 31, 33]",KarmaZoo is about helping people working together and finding bliss in cooperation  especially when things go wrong Make meaningful connections with completely random players online as they are all striving alongside you to earn the most precious resource of all Karma
1698969600,244457,Ebenezer and the Invisible World,"[6, 48, 49, 130, 167, 169]",Embark on a storyrich 2D Metroidvania adventure with breathtaking handdrawn art playing as miserturnedhero Ebenezer Scrooge in a reimagined Victorianfantasy based on Charles Dickens classic novel A Christmas Carol Enlist the help of ghosts to save the people of London before its too late,"[8, 31, 32]",Join Ebenezer Scrooge and a team of spectral allies as they battle to save London from the clutches of the wealthy industrialist Caspar Malthus and his militant Private Guard With each Ghost lending their unique abilities explore the dark corners of London and uncover the sinister influence of the Dark Spirit and an army of Unrepentant Ghosts Will you have the courage to confront Caspar and stop his malevolent plans before it is too late
1699920000,239407,UFO Robot Grendizer: The Feast of the Wolves,"[6, 48, 49, 167, 169]",For the first time in the video game history climb aboard Grendizer the Legendary Robot and fight the forces of evil to defend our planet Earth,[31],Missing
1699920000,239385,Naruto x Boruto: Ultimate Ninja Storm Connections,"[6, 48, 49, 130, 167, 169]",The next exciting entry in the STORM series celebrating the 20th anniversary of Narutos anime debut releases 2023 The game features new playable characters in addition to the 124 ninjas from past series Plus it connects key moments from the first four STORM entries into one game for the first time,"[4, 31]",Missing
1701302400,237349,Tevi,"[6, 48, 49, 130]",A new game from the creators of RabiRibi embark on an epic actionadventure as you slash dash and combo your way through a sprawling land scarred by conflict Explore and discover hidden secrets Customize your build to triumph in spectacular boss fights and unravel the mysteries of the world in TEVI a bullet hell metroidvania,"[8, 31, 32]",Welcome to Az where our adventure begins This sprawling continent is full of myth and magic and is home to three main races magicwielding humans animaleared beastkin and biomechanical hybrids called magitech Azs unique blend of magical and technological advancements has shaped its long and storied past from ancient civilizations to modern societies However conflicts between factions have scarred the land and its people Despite this the vast geography and diverse biomes of Az are teeming with life both friendly and hostile  Situated across the continent are five major cities The palatial city of Ana Thema has long been the seat of human power while the beastkin toil in the industrial hub of Morose Beyond them lies the frozen tundra of Snowveil the towering spires of Valhalla in the sky and the dark depths of Tartarus Each place in Az has its own secrets mysteries and stories to tell  The heroine of the story Tevi is a selfproclaimed genius engineer who sets out on a journey with her companions to uncover the truth about Astral Cogs in order to assist her fathers research
