,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
27,"[12, 31, 32]",27445,Shadows of Adam,"[3, 6, 14, 48, 130]",An outcast with a fearful power ventures out into the unknown world to save her father and herself Shadows of Adam is a unique take on a classic genre A retro JRPG built for the modern era,80.0,A specter haunts the small remote village of Adam It is the ghost of its dour hero Orazio who set out 10 years ago without explanation and never returned leaving his son and adopted daughter to wrestle with the dark secret he left behind A secret that must now be revealed if the children hope to save their departed father though its revelation could unhinge the world  Shadows of Adam is a 16bit era characterdriven JRPG with an indie soul Players will journey through a vivid and mysterious world and take on a cast of comical and brutal foes in fastpaced battles Navigate your way through treacherous dungeons such as the ominous Tangle dizzying Wind Tower or foreboding Haunted Swamp Each dungeon is designed with innovative puzzles and unique game play to keep the player captivated and coming back for more Prepare for a slippery slope of twists and turns all the way as our characters find themselves on a path to an epic conclusion,11.69,13.72,18.9,73.0,17.0,31.0
28,"[9, 12, 13, 31, 32]",27373,Unexplored,"[3, 6, 14, 48, 49, 130]",Unexplored is an accessible yet challenging roguelite action rpg featuring a fantastic level generator and a surprising amount of content and depth Explore dangerous dungeons solve mysterious puzzles and engage hundreds of foes big and small in intense melee combat,80.0,Missing,10.0,100.0,200.0,71.0,7.0,3.0
29,"[9, 12, 13, 15, 31, 32]",27339,Holy Potatoes! We're in Space?!,"[3, 6, 14, 39, 48, 130]",Welcome cosmonauts to the perilous and patulous potato universe of Holy Potatoes Were in Space  A game where you manage your own spaceship while hurtling through a spud filled universe,80.0,Play as Cassie and Fay two spudette sisters who are out exploring the universe in search of their grandfather Jiji who has been incarcerated by the evil federation The Eclipse,11.17,18.53,27.11,71.0,7.0,17.0
30,"[9, 31, 32]",27094,Stories Untold,"[6, 14, 48, 49, 130]",Stories Untold is a compilation tape of four episodes from the now cancelled series of the same name including a remaster of the original pilot episode The House Abandon,79.16916928085159,Missing,2.71,3.01,3.11,74.0,321.0,533.0
31,"[31, 32, 33]",27277,Forma.8,"[6, 14, 34, 39, 41, 46, 48, 49, 130]",Explore fight and solve puzzles Uncover the secrets of a mysterious alien planet in this open world metroidvania adventure where nothing is what it seems  Accidentally stranded during a crucial mission the forma8 probe will need to survive and accomplish the unthinkable What really happened on this planet Who or what lived here And when Whats the secret behind its history These are only but a handful of the questions in need of answers Or elseeverything will be lost  The peculiar visual style coupled with a deep lore and classic actionadventure mechanics makes forma8 a unique experience worth savoring and enjoy to the fullest,75.49009498020551,Missing,6.75,6.83,8.99,57.0,35.0,33.0
32,"[2, 9, 31, 32]",26809,Hidden Folks,"[3, 6, 14, 34, 39, 130]",Search for hidden folks in handdrawn interactive miniature landscapes Unfurl tent flaps cut through bushes slam doors and poke some crocodiles,74.28263181461574,Missing,3.28,4.94,7.04,71.0,141.0,284.0
33,"[5, 10, 33]",27386,Lifespeed,"[37, 137]",Lifespeed is the ultimate race for survival Battle your galactic opponents while flying at high speed through exciting tunnels Your planet needs you,74.0,One thousand years ago a Great War threatened to engulf the galaxy The United Government was formed to stop the impending Armageddon Now there is a new threat called Lifespeed Instead of war disputes about resources and survival are settled on the track Each rider is forced to compete for their planets survival and for the chance to become Archon You are Cypher Reid,0.0,0.0,0.0,0.0,0.0,0.0
34,"[5, 24, 31]",18366,Sniper Elite 4,"[6, 48, 49, 130, 170]",Sniper Elite 4 combines genredefining ballistics breathless emergent stealth and gripping third person action across the largest and most diverse environments ever seen in a Sniper Elite game  Set in the aftermath of its awardwinning predecessor Sniper Elite 4 continues the series World War Two heritage by transporting players across the beautiful Italian peninsula from sundrenched Mediterranean coastal towns to colossal Nazi mega structures daunting forests and giddying mountain monasteries inspired by Monte Cassino  Covert agent and elite marksman Karl Fairburne must fight alongside the brave men and women of the Italian Resistance to help free their country from the yoke of Fascism and defeat a terrifying new threat with the potential to halt the Allied fightback in Europe before its even begun  If his mission fails there will be no Operation Overlord no DDay landings and no Victory in Europe,73.08411890268454,Missing,10.71,17.34,43.27,74.0,428.0,591.0
35,"[13, 15, 32]",20927,911 Operator,"[3, 6, 14, 34, 39, 48, 49, 130]",911 Operator is a game about the difficult work of people that manage emergency lines and services Main task is to answer incoming calls and to react properly  give first aid instructions advise dispatch correct number of firemen  police  ambulances or sometimes just ignore the call,70.21105319563796,Missing,6.32,10.42,21.59,66.0,116.0,142.0
36,"[4, 5, 8, 31, 32, 33]",26725,Bleed 2,"[3, 6, 14, 48, 49, 130]",Bleed 2 is a relentless arcade action game about shooting dodging reflecting bullets slowing time and lots and lots of bosses The player controls a young girl named Wryn  the worlds greatest and only remaining hero Together they must battle an invading force of villains and live up to her title as the Greatest Hero of All Time,70.05971280322052,Missing,1.07,2.38,10.78,71.0,83.0,136.0
37,"[4, 12, 31]",46665,Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto,"[6, 48, 49, 130]",Naruto Shippūden Ultimate Ninja Storm 4 is the sixth and final instalment of the Ultimate Ninja Storm series developed by CyberConnect2 and published by NamcoBandai games for the PlayStation 4 Xbox One and Steam It was released in February on the 4th in Japan 5th in Europe and the 9th in North America An enhanced edition called Road to Boruto was released on February 2nd 2017 in Japan and on February 3rd 2017 in North America  Europe for PlayStation 4 Xbox One and Steam,70.00929514587851,Missing,3.08,5.23,9.63,71.0,72.0,57.0
