,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
46,17136,Abyss: The Wraiths of Eden,"[3, 6, 14, 34, 39, 48, 49, 74, 130]","[2, 9, 31]",Find your missing fiancé in the deepest parts of the ocean in a forgotten underwater city that hides many spinechilling secrets and an ancient evil that is hiding in the deepest chambers of the once idyllic city of Eden,Find your missing fiancé in the deepest parts of the ocean in Abyss The Wraiths of Eden Discover and investigate a forgotten underwater city that hides many spinechilling secrets and supernatural forces which still lurk in every corner of this mysterious world Face an ancient evil that is hiding in the deepest chambers of the once idyllic city of Eden,72.59484476299181,3.29,4.05,6.91,68.0,54.0,141.0
47,1586,Skylanders: Giants,"[5, 9, 12, 37, 41]","[9, 25, 31]",Skylanders Giants is a 2012 video game in the Skylanders series a direct sequel to the 2011 game Skylanders Spyros Adventure and features the voices of Kevin Michael Richardson Greg Ellis Peter Lurie Steve Blum Dave Wittenberg Carlos Alazraqui Kevin Sorbo Bobcat Goldthwait Patrick Seitz and Julie Nathanson It is the game before Skylanders Swap Force As the title suggests it features larger Skylanders known as Giants along with other new gameplay mechanics,Missing,70.21613309106841,10.17,21.96,31.65,66.0,104.0,64.0
48,23676,Transformers: Prime,"[5, 20, 37, 41]",[25],Transformers Prime lets fans play as their favorite Autobot characters and embark on an actionpacked adventure to save the earth from the evil Megatron and his new secret weapon,In the single player campaign players will step into the roles of OPTIMUS PRIME BUMBLEBEE ARCEE AUTOBOT RATCHET and BULKHEAD as they explore unique vistas all around the world with brawlerstyle combat and diverse driving sequences Along the way gamers cultivate friendships with Jack Miko and Raf  the human characters from the show  as TEAM PRIME sets out to protect mankind and eliminate the DECEPTICONS once and for all The game also features intense multiplayer modes that allow fans to choose from 11 different TRANSFORMERS characters from both factions,70.0,,,,,,
49,79158,Knights of Pen and Paper,"[3, 6, 14, 34, 48, 49, 130]","[12, 31]",A retro inspired RPG made for iPhone and Android Takes a pen and paper styling to a more classic Final Fantasy approach,Missing,69.90254888330077,,,,,,
50,10137,Dark Arcana: The Carnival,"[3, 6, 14, 48, 49, 130]","[2, 9, 31]",Find the missing woman lost in a mysterious Carnival of Horrors Investigate two worlds the one you know and an alternate plane existing behind the Hall of Mirrors Discover the secret of an ancient being known as the Evil One Reveal the story of starcrossed lovers and stop the Evil One from breaking its magical chains and invading our world  While traveling through dimensions you will solve cleverly designed minigames and find hidden objects or play a special minigame as an alternative Best of all you will befriend a cute and clever monkey devoted to aiding you on this adventure,Missing,69.52739932340242,2.6,3.22,5.01,61.0,43.0,103.0
51,8063,Retro City Rampage,"[5, 6, 9, 12, 37, 46]","[5, 9, 10, 31, 32, 33]",Retro City Rampage is a downloadable actionadventure video game for WiiWare Xbox Live Arcade PlayStation Network and Microsoft Windows developed by Vblank Entertainment It is a parody of retro games and 80s and 90s pop culture as well as Grand Theft Auto and similar games It was released on October 9 2012 for PlayStation 3 PlayStation Vita Microsoft Windows on January 2 2013 for Xbox Live Arcade and on February 28 2013 for WiiWare Retro City Rampage was the last original game released for the WiiWare service globally until Deer Drive Legends was ported to the service the following November,Missing,68.94180215683906,6.37,8.25,10.68,70.0,41.0,47.0
52,47624,Boulder Dash-XL 3D,[37],"[9, 15]",In this the sequel to the 1984 classic actionpuzzler players set forth as Rockford or Crystal and mine their way through a variety of hazardous yet stunning three dimensional caves while avoiding crushing boulders and an eerie menagerie of killer creatures Features  Dazzling 3D Graphics glisten on Nintendo 3DS  4 Varied Gaming Worlds Ice Ancient Reactor Space  5 Game Modes Arcade Puzzle Zen Score Attack and Retro  Over 150 All New and Exciting Caves to Conquer  New Scoring mechanics provide an exciting challenge for high score hunters  Share unlocks and high score with your friends via StreetPass,Missing,67.0,0.0,0.0,0.0,0.0,0.0,0.0
53,21007,Liberation Maiden,"[37, 39]","[5, 33]",Liberation Maiden is a shooter game developed by Grasshopper Manufacture and published by Level5 It was originally included in the Guild01 compilation for the Nintendo 3DS in 2012 and later made available separately on Nintendo eShop A standalone high definition version was also released for the iOS in 2013,100 years in the future players take the role of Shoko Ozora a high school student who steps into the role of President of New Japan after her fathers assassination With her country all but taken by fierce invaders wielding advanced weaponry Shoko rides out on her Liberator Kamui to free her people and restore the once beautiful nation  Her heroic battle for independence and liberation is about to begin,62.26524505013557,1.56,2.71,6.63,70.0,93.0,132.0
54,3393,Harvest Moon: A New Beginning,[37],"[12, 13, 31]",Harvest Moon A New Beginning is a farming simulation game for the Nintendo 3DS video game console As the new farmer in town it is your job to use your farm and its resources to revitalize a oncepopular town You can grow crops and raise animals as well as interact with villagers and possibly get married,Once a thriving town Echo Village is almost empty after the inhabitants lost everything in a poor economy Your parents recently offered you a chance to renovate the abandoned family farm but reviving a successful ranch requires rebuilding the town Can you find the materials and blueprints that allow you to create the best community in the land,61.89108756655551,,,,,,
55,16781,OMG Zombies!,"[6, 46, 130]","[5, 9, 15, 33]",OMG Alert Alert The City of Redfield has been hit by an outbreak of exploding zombies For cool and unimportant reasons these suckers literally explode when shot showering their zombie brethren with gore and causing chain reactions of showering zombie gibs with just a single bullet As a lone cop armed only with bare wit a largecalibre sniper rifle and bullets coated in a zombieexploding pathogen you are the last man standing at the epicentre of a zombie outbreak Your mission To succeed where the police and army failed by clearing the streets of 8 different strains of bloodthirsty zombies and stop Armageddon in its tracks,Missing,60.0,0.0,7.34,7.53,73.0,4.0,7.0
56,23677,Jewel Master: Cradle of Egypt 2,[20],[9],The bestselling series returns in Jewel Master Cradle of Egypt 2 for Nintendo DS,Missing,53.0,,,,,,
57,5032,Draw a Stickman: Epic,"[6, 14, 34, 39, 49, 74, 130]","[9, 12, 31, 32]",Draw a stickman then guide him through a fantastic world of adventure Using an assortment of pencils draw elements tools and weapons to solve puzzles and overcome obstacles,Missing,51.83212493028445,,,,,,
58,8060,ThunderCats,[20],"[8, 25]",ThunderCats is a sidescrolling video game that is based on the original animated television series ThunderCats The game was published in 1988 by Elite Systems Ltd for home computers  The player takes control of the character LionO and maneuvers him through 14 side scrolling levels to search for the missing Eye of Thundera LionO begins the game equipped with the Sword of Omens with the Eye of Thundera missing from the hilt but has the option to switch throughout the game between the sword and a short range energy gun In several levels LionO will jump into a flying vehicle that can fire in a similar manner as the short range energy gun The first four levels of the game are a part of the Garden of the Elementals where the player may choose the order they play each of the themed levels consisting of fire water air and earth  Each level has a time limit to complete it when it expires MummRa appears and more goons and villains appear to make it tougher for LionO to finish,Missing,50.0,0.0,0.0,0.0,50.0,1.0,0.0
59,47658,Moshi Monsters: Moshlings Theme Park,[37],[31],Moshi Monsters Moshlings Theme Park developed by Black Lantern Studios invites players to restore the legendary Moshi theme park to its former glory Players progressively unlock six zones by successfully building attractions and rescuing the scattered Moshlings adorable itty bitty pets for your pet monster Users of the Nintendo 3DS can also interact with other Nintendo 3DS players via the StreetPass feature and play cool games to bring the Moshlings to life in a whole new dimension Moshi Monsters Moshlings Theme Park marks the first time fans can interact with beloved characters via 3D technology and introduces players to a brand new exclusive Moshling that can transfer across platforms to the online world,Missing,47.0,,,,,,
60,6873,RollerCoaster Tycoon 3D,[37],"[13, 15]",The next installment of the hit RollerCoaster Tycoon franchise is here and this time its in 3D  Meet the Rocket Coaster Company an energetic and small group of coaster fanatics Run by your father a worldrenowned roller coaster genius the RCC is poised to change the world with its incredible designs and style Unfortunately your father is a bit of a scatterbrain and is far too busy dreaming up new rides and roller coasters to get the company off the ground  This is where you the player comes in as your father has decided that spending your time helping him out is more important than your summer vacation Aided by a friend of the family and an old retired theme park industry veteran the player is tasked to take the reins to get a foothold in the theme park world Take on jobs help design coasters and even manage your own theme parks as you push the RCC to the top,Missing,40.0,7.33,0.0,0.0,35.0,2.0,1.0
61,86227,Myst,[37],"[9, 15, 31]",Its more than a game Its a journey,Missing,18.0,5.49,5.61,5.85,76.0,87.0,147.0
