first_release_date,id,name,platforms,genres,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1214438400,69157,Higurashi no Naku Koro ni Kizuna Volume I: Tatari,[20],[34],Higurashi no Naku Koro ni Kizuna Volume I Tatari is the first installment in Higurashi no Naku Koro ni Kizuna which includes the second to fourth arcs ported from Matsuri and a brand new extra arc from the first Advanced Story saga called Someutsushihen,Missing,Missing,nan,nan,nan,nan,nan,nan
1213574400,67961,Boule & Bill: Holiday time!,[20],"[14, 31]",Boule et Bill  Vive les vacances ,Missing,Missing,nan,nan,nan,nan,nan,nan
1214265600,67336,Gourmet Chef,[20],Missing,Gourmet Chef is a Nintendo DS game by 505 Games Creative Patterns published by Ubisoft,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,67236,Asterix Brain Trainer,[20],[9],A brain training game featuring characters from the Asterix comic book series for the Nintendo DS,Missing,Missing,nan,nan,nan,nan,nan,nan
1212624000,66970,99 no Namida,[20],Missing,Based on the premise that crying helps relieve stress Bandai Namco aims with 99 Tears just that to make the Nintendo DS owners cry The game takes place in a city where the inhabitants have forgotten how to cry One day returning from work you run into a store called Source of Tears and the story begins The player will have to play at the end of each day one of the 99 stories that the game has chosen for us previously based on a kind of psychoanalysis According to the response to the story the game will continue the sequence optimally to provoke crying,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,62480,The Tower DS,[20],[13],The Tower DS is a Nintendo DS entry in the SimTowerThe Tower franchise,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,47797,Shepherd's Crossing 2,[20],"[12, 13, 15]",Shepherds Crossing 2 DS is a full featured and indepth farming simulation and strategy game At its heart the game is about the player living in a small town and communicating with the other villagers while raising livestock harvesting crops and building a farm Aside from laying out fields and deciding where to herd the animals players must also pay attention to the placement of their resources arranging their life as they see fit As a special feature unique to the DS interaction with others is a major part of the game One can even court date and marry  Its just one goal in a game filled with things to do and people to meet The game is beautifully animated in a Japanese anime style The openended gameplay styles mean the player can choose what they want to do whether it be breed animals farm their fields build relationships with the people around town or any combination of these activities as well as many others The DS allows for unique touch screen controls that are implemented into most of the ingame activities With so many different activities and openended style simulation gameplay there are hours and hours of entertainment available to players,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1212624000,47766,Crosswords DS,[20],[9],Crosswords DS supports up to four different players and features two basic modes  Training and Main Game The main game includes three classifications of puzzles  Crosswords Word Searches and Anagrams The game uses similar handwriting mechanics to solve the puzzles as the popular Brain Age series of video games as well as requiring the player to hold the Nintendo DS like a book All three puzzles have varying difficulty levels all of them featuring unlockable puzzles and difficulty levels,Missing,Missing,nan,nan,nan,nan,nan,nan
1214265600,25434,Pet Vet 3D: Wild Animal Hospital,"[6, 20]","[13, 31, 32]",Be animal doctor to cute baby elephants frisky zebra foals adorable lion and leopard cubs and more Help them get better by examining them and helping them heal,Missing,Missing,nan,nan,nan,nan,nan,nan
1212710400,21364,Looney Tunes: Cartoon Conductor,[20],[7],Looney Tunes Concert Concerto is a rhythm game featuring characters songs and setting from the Looney Tunes cartoon series,Missing,Missing,4.0,0.0,5.5,58.0,4.0,2.0
1213228800,21253,"My World, My Way","[20, 38]",[12],The game puts the player into the role of Princess Elise a young spoiled princess on a quest to impress a handsome adventurer into being her boyfriend  Princess Elise has a unique ability to pout changing the games landscape or enemy behavior This ability can be used to force enemies to drop more loot make the game easier or even complete sidequests,Missing,Missing,0.0,23.42,51.02,65.0,2.0,4.0
1214179200,18246,American Girl: Kit's Mystery Challenge,[20],[31],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1212710400,8454,Code Lyoko: Fall of X.A.N.A.,[20],"[12, 31]",Code Lyoko Fall of XANA is the third videogame based on the French animated cartoon Code Lyoko where a group of friends can virtualize in a digital world and fight a super computer trying to take over the world The game is the sequel to the first game the DS title Code Lyoko It follows the storyline of the season 4 where Aelita is living in our world XANA managed to control William the new warrior to make him destroy Lyoko By chance Jeremy could make a replica of it Our friends are now fighting William and are trying to stop XANA from taking over the world,Missing,Missing,15.16,0.0,0.0,60.0,1.0,2.0
1213660800,7913,Imagine: Rock Star,[20],[7],Play music and go shopping,Missing,Missing,nan,nan,nan,nan,nan,nan
1213660800,5259,Wacky Races: Crash & Dash,"[5, 20]",[10],Missing,Missing,Missing,0.0,1.79,0.0,34.0,5.0,1.0
1214438400,19103,Bleach: The 3rd Phantom,[20],"[12, 15]",In this exclusive storyline exciting details are revealed about the BLEACH universe from before the start of the anime series The story highlights the close partnership between two fraternal twin Soul Reapers Matsuri Kudo and her brother Fujimaru In fierce battles For the first time players create and command their own team of eight Soul Reapers In teambased battles players decide where to place their team on the campaign map and also how to customize their characters powers with the experience points they received With exciting revelations and a lot more choice strategy and cooperative gameplay BLEACH The 3rd Phantom will thrill fans and newcomers to the series,82.0,Missing,48.25,52.62,85.93,72.0,15.0,12.0
