,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
160,"[5, 9, 32]",133222,Time Rift,"[6, 48, 49, 130]",Time Rift is a fastpaced puzzleshooter crash through causality and rewind time to escape from the 60 stages of Speedjail Thinking fast avoiding traps and a steady aim will only get you so far  to beat Time Rift youll have to manipulate the flow of time,Missing,Missing,0.0,0.0,3.29,70.0,1.0,2.0
161,"[5, 8, 32, 33]",132917,One Gun Guy,"[48, 49, 130, 167, 169]",One Gun Guy is a straight forward no nonsense action platformer one giant level littered with player upgrades hazards to tackle enemies to destroy a boss to kill and multiple difficulty settings,Missing,Missing,0.58,0.58,0.0,75.0,4.0,6.0
162,"[5, 10, 33]",126063,Perpetuum Mobile,[130],In Perpetuum Mobile you take control of the perpetuum flyer where you must reach the highest score in infinite procedurally generated levels,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
163,"[8, 9, 31, 32]",122086,Derpy Conga,"[6, 130]",A physicsbased puzzleplatformer about the importance of friendship Gather all your friends and take them on a journey to save their endangered planet Take their hand as you find them and form a conga line to be sure not to leave anyone behind but be careful the longer the line the harder to control On the other hand haha certain obstacles are easier to overcome when you have friends on your side,Search for Friends Explore beautiful and lively alien worlds as you travel through space to look out for your friendsOnce you found them take them by their hand and never let go again  Different friends different abilities On your journey youll meet different kind of friends each of them has different abilities that can be used to get past obstacles and to solve puzzles,Missing,,,,,,
164,"[8, 9, 31, 32, 34]",115976,Letters: A Written Adventure,"[6, 14, 34, 39, 130]",Letters is a singleplayer puzzle adventure about the life of Sarah told through the letters she sends to her pen pal The letters themselves form the game world you navigate through Youll encounter numerous drawings blocking the way To get past them pick up and change words from the text by removing single letters and use these newly created words to interact with the game world Choosing the right words can be tricky Talk to the drawings and read between the lines to find the correct solution Your decisions will change the course of the story  FEATURES  PLAY with words  Use the power of words to change the game world  GROW up with Sarah  Walk lifes journey with her and decide what kind of person shell become  READ between the lines  Put your English skills to the test and solve tough wordbased riddles  REWRITE Sarahs story  Discover new possibilities with every playthrough  ENJOY a colorful world  Travel back in time and dive into a rich universe full of fun characters,Letters begins in 1998 as Sarah an elevenyearold girl from Switzerland writes the first letter to Katya her new pen pal from Russia Through letters and online messengers they continue to stay in touch over many years They become good friends and share their dreams worries and everyday life with each other  Sarahs story is relatable and still one of a kind Especially because you get to chose how it plays out  You take on the role of a tiny Sarah moving through letters and messages Along the way you have to make decisions for her that will impact her life and change the person she grows up to be  The game world is inhabited by Sarahs drawings in the letters and images on her computer screen that block your way To get past them you can pick up words from the text and throw them at these characters who will change accordingly and hopefully make way  Most of the time there is no right word available so you have to create your own By removing some letters from a word you can uncover a new one You can for example get the word wing from drawing and use it to give flight to a wingless bird  But be careful when you choose a word to throw at a drawing All of the characters have their own personalities and might even represent real people in Sarahs life How you interact with them has an impact on the rest of the letter and sometimes even beyond  The gameplay is pleasantly relaxed allowing you to concentrate on the riddles and enjoy all the quirky characters and beautiful art The visuals are charming and nostalgic taking you on a journey through time with messy childrens desks full of toys colorful drawings and enchanting memories,Missing,,,,,,
165,"[9, 12, 13, 31, 32]",111450,Brave Dungeon: The Meaning Of Justice,"[6, 130]",A sequel that inherits the basic system of the previous Brave Dungeon You can play in different stories and different systems with the scenarios of the three protagonists,The purpose is to get the Unsealed Books hidden in the three library stacks There is a Sealing Trap in the library that tests the wisdom of intruders,Missing,,,,,,
166,"[15, 35]",93975,The Table Game,[130],The Table Game includes rule explanations so even beginners can dive right in Rules and howtos are included for each game Its perfect for anyone whether youre a brand new player or a veteran that needs a brush up  Included games  Twoplayer Mahjong  Fourplayer Mahjong  Othello  Go  Shogi  Tsume Shogi  Hanafuda Koikoi  Texas Hold em  Blackjack  Five Card Draw Poker,Missing,Missing,,,,,,
167,"[12, 15, 31, 32]",81058,Rise of the Third Power,"[6, 48, 49, 130]",Rise of the Third Power is a retrothemed consolestyle roleplaying game loosely based on the political climate of Europe in the late 1930s The story takes place in the land of Rin during the height of the Age of Sail following the events that would lead to the greatest war in human history,1587 2A  15 years have passed since the guns of the Great War at last fell silent The conflict rocked the world leaving half a generation of men and women lying dead on the battlefield Of the many players that had acted on the world stage only two remained the kingdom of Cirinthia and the ancient Republic of Tariq  In time Dimitri Noraskov a hero to the defeated Kingdom of Arkadya rose from the ashes He saw his king as a coward for surrendering and a traitor for submitting to the Treaty of Evenheart So did the people They supported Noraskov when he overthrew the king They supported him as he reclaimed the lands that had been stripped of them And they supported him as he raised an army Noraskov had theorized that the nations of the world were still too worn by the Great War to enforce the terms of the Treaty Thus far his gambit has proven successful  The Arkadyan Empire shows no signs of curbing its aggression It is feared by many that a reprise of the Great War that at one time could have been prevented is now all but inevitable But there are those that believe it can yet be stopped,Missing,27.45,32.47,34.69,80.0,15.0,27.0
168,[12],158985,Final Fantasy VI,"[6, 34, 39, 48, 130]",The original Final Fantasy VI comes to life with completely new graphics and audio A remodeled 2D take on the sixth game in the worldrenowned Final Fantasy series Enjoy the timeless story told through charming retro graphics,In the town of Narshe Terra participates in an Imperial mission to seize a powerful Esper encased in ice Upon locating it a magical reaction occurs between Terra and the Esper as a result the soldiers accompanying Terra are killed and Terra is knocked unconscious Upon awakening Terra is informed that the Empire had been using a device called a slave crown to control her actions With the crown now removed Terra cannot remember anything more than her name and her rare ability to use magic unaided Terra is then introduced to an organization known as the Returners who she agrees to help in their revolution against the Empire The Returners learn that Imperial soldiers led by Kefka are planning another attempt to seize the frozen Esper After repelling Kefkas attack Terra experiences another magical reaction with the frozen Esper she transforms into a creature resembling an Esper and flies to another continent Upon locating Terra the party is confronted by an Esper named Ramuh who informs the group that Terra may require the assistance of another Esper imprisoned in the Imperial capital city of Vector,87.40684702650547,34.39,40.8,61.23,88.0,955.0,1083.0
169,"[4, 25, 32]",144022,Sifu,"[6, 48, 49, 130, 167, 169]",A third person action game featuring intense handtohand combat it puts you in control of a young KungFu student on his path of revenge throughout the city,Sifu is the story of a young Kung Fu student on a path of revenge hunting for the murderers of his family One against all he has no allies and countless enemies He has to rely on his unique mastery of Kung Fu as well as a mysterious pendant to prevail and preserve his familys legacy,82.28775648082274,8.59,14.27,20.33,81.0,421.0,505.0
170,"[13, 31, 32]",191747,Wylde Flowers,"[6, 39, 130]",Join Tara on a heartfelt journey to become a witch in Wylde Flowers Farm by day and cast spells by night as you craft your cottagecore life and bond with your coven Come to know and love the fully voice acted characters of Fairhaven as you unravel a local mystery,Play as Tara who has just moved to a cute rural island to help out her grandma and the family farm Get to know a memorable cast of fully voiced characters with intriguing backstories find friendship or even romance  Relax into your cottagecore lifestyle as you tend crops care for animals fish craft and more throughout the day By night nurture your inner witch as you learn to fly your broomstick brew potions control the weather and seasons or even transform into a cat  Fairhaven awaits you,81.31332563806593,36.4,46.69,102.45,91.0,5.0,17.0
171,"[8, 12, 31, 32, 33]",122386,Infernax,"[6, 48, 49, 130, 167, 169]",Infernax is the adventures of a great knight who returns to his homeland only to find it plagued with unholy magic Uncover the mysteries of the curse and face the consequences of your actions,Infernax follows Alcedor a famed knight who discovers an unholy magic has spread throughout his land while he was away Armed with a skullsplitting mace and a trusty shield Alcedor vows to obliterate the grotesque beasts roaming his home in an epic sidescrolling quest recalling the essence of classically difficult action adventure games,79.92571277250966,6.68,8.75,16.41,79.0,123.0,172.0
172,"[5, 8, 14, 32, 33]",145782,OlliOlli World,"[6, 48, 49, 130, 167, 169]",OlliOlli World is a bold new skateboarding actionplatformed thats bursting with personality Flip and flow through the vivid and vibrant world of Radlandia meeting colorful characters as you grind trick and air your way to discover the mystical skate gods on your quest for Gnarvana,Traverse a delightful and weird world as you take on missions challenges and make new friends along the way Customize your characters looks tricks and style while you experience explorable levels with multiple paths that provide an array of opportunities for player expression Challenge the world in Leagues or dare a friend to beat your best tricks on one of millions of sharable levels Experience the accessibility depth and player freedom as you dive into the signature flow state gameplay of OlliOlli World,79.6262520773915,5.4,11.72,57.24,78.0,138.0,152.0
