,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
16,"[8, 9, 31, 32]",210584,Maid-san Slayer: The Soul Of Elegant Skill,[6],Missing,Missing,Missing,,,,,,
17,"[31, 34]",206234,Dot Kareshi: We're 8bit Lovers! II - Tenku no Kissu,[6],Have you already forgotten the time you spent playing with us back then Youve also become an adult and youre probably busy But even if its just a little please remember us Because of you weve become warped,An RPG world with many H temptations Now is the time to carve out a new legend together with the characters who were changed when you played the game  Features Beastmaster Kemonotsukai Dancer Odoriko Knight and Monk,Missing,,,,,,
18,[31],203159,Into the Haze,[6],Missing,Rescue a young girl from the clutches of an ancient demon in Into the Haze Guide your character through a supernatural adventure where shell encounter an ancient fog demon summoned by her sisterinlaw in a magic ritual gone wrong Race to rescue the heroines daughter Emily before the demon claims her prize,Missing,2.26,0.0,0.0,0.0,0.0,2.0
19,"[5, 12, 25]",200659,Warframe: Shadows of the Dead,[6],Missing,ADDITIONS  New Warframe Nekros  New Prime Warframe Mag  Survival Missions Return  Survival now takes place in procedurally generated levels allowing greater mission variety challenge and replayability  Weekly leaderboards are now live for all survival missions on the Starchart  All Raid Void Keys have been retroactively replaced with Survival missions  A handful of our new mods can be found by playing Survival missions good luck  The Conclave  New Level Sets Orokin Derelict Spacecrafts  New Sentinels  New boss Infested Golem  Level Expansion  Grineer Settlement  New Weapons  New Clan weapons  New Prime Weapons in the Void  New Mods  New Customization Options  Clan Dojo Level updateprops  All Grineer now speak Grineer a language capable of communicating their barbaric ways,Missing,,,,,,
20,Missing,199979,Instead: Ghost Suburb,[6],Missing,A miniadventure game where the goal is to collect certain items in a village and bring them one at a time to the village shrine to open the largest building in the village which is the northmost building,Missing,,,,,,
21,[8],194382,Mega Man Rock Force,[6],Missing,It was the year 20XX and Earth had finally achieved an extended period of peace Wily had since vanished permitting the world to once again focus on other matters science progress and the ever growing relationship between humans and robots However Mega Man now wary of true everlasting piece recruited eight willing robot masters and began training them if evil should dare arise his team the Rock Force would be there to stop it,Missing,3.5,8.22,0.0,80.0,2.0,2.0
22,"[5, 12]",186628,Borderlands 2 : Ultimate Vault Hunter Upgrade Pack 2,"[6, 9, 12]",Missing,Ultimate Vault Hunter Upgrade Pack 2 Digistruct Peak Challenge  Raises the level cap to 72 adds a new Patricia Tannis mission where you may fight impossible over leveled monsters at Digistruct Peak,Missing,,,,,,
23,"[9, 32]",186271,Multilytheus,[6],Missing,An abstract puzzle game about navigating space,Missing,0.0,0.0,0.0,0.0,0.0,0.0
24,[2],185651,4-Lung Boy,[6],Missing,A week after moving to a small town you are confronted by frustration an astronaut and striped siblings  4Lung Boy is a short point  click adventure story designed and illustrated by Anatola Howard maroonracoon  put into motion by denzquix,Missing,,,,,,
25,[31],177808,Yume Nikki 3D,[6],Missing,Yume Nikki 3d is a fan game based on Yume Nikki universe with surreal exploration,Missing,,,,,,
26,"[13, 15]",170118,Europa Universalis IV: American Dream,[6],Missing,On July 4 1776 the Continental Congress of the 13 American Colonies declared independence from Great Britain The American Revolutionary War having started the year before would last for another seven years and see the birth of a new nation the United States of America,Missing,,,,,,
27,"[11, 13, 15]",169976,Europa Universalis IV: National Monuments II,[6],Missing,This pack adds new graphical national monuments to the already stunning Europa Universalis IV mapHagia SophiaThe Hagia Sophia traces its origins to the year 4th century with the current structure being constructed in the 6th century,Missing,,,,,,
