first_release_date,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
1665100800,[31],221531,No Man's Sky: Waypoint,"[6, 48, 49, 130, 167, 169]",Access the universe of No Mans Sky from anywhere in update 40 Waypoint Launching for the first time on Nintendo Switch and overhauling fundamental elements of gameplay including game modes inventory size and usability milestones journey cataloguing and much more,Missing,nan,nan,nan,nan,nan,nan
1666915200,"[12, 24, 31, 32]",221519,The Infinite Black 2,"[6, 14, 34, 39]",The Infinite Black 2 casts the player in the roll of a Captain managing a fleet of ships to hunt aliens trade resources loot treasures and craft equipment Join playerrun corporations with friends to build shipyards discover and use strange alien technology and vie for territorial control Test your mettle in a PvP Arena against other Captains or declare yourself an Outcast Corporation waging a neverending intergalactic war against all who oppose you,Space once thought to be the salvation of humanity has fallen victim to the same vices weaknesses and greed that doomed civilization on Earth Players are thrust into the galaxy as corporate wageslaves trying to climb their way out of the cold heartless milieu they were born into The galaxy is populated with pirates who want to steal your stuff aliens who want to do something to you and other survivors who are just trying to make their mark on the universe,nan,nan,nan,nan,nan,nan
1665187200,[12],221514,Words Plus,[6],Words Plus is a thirdperson narrative game In the game you will play the role of a daze AI boy through a total of 9 scenes including caves galleries theaters and so on using the language of the concrete text model to interact with the scene and experience the extremes of online language,Missing,nan,nan,nan,nan,nan,nan
1665360000,"[12, 15]",221509,XGamer: AI Revolution,[6],XGAMER  AI Revolution is a scifi thirdperson RPG game In the main world it is divided into 41 areas the first 4 areas are phantom earth void and heat Each core has 20 programs Find out The Key is By getting to know The Key and finding the world code you will know the truth,Missing,nan,nan,nan,nan,nan,nan
1665360000,[12],221505,DnD Adventure: Rogue's Choice,"[3, 6, 14]",With debts to pay to the underworld you need to make a lot of coin fast Perhaps worse youre wanted by the Kings men for desertion Survival is your first priority,Missing,nan,nan,nan,nan,nan,nan
1665532800,Missing,221487,Tiny Talents,"[3, 6, 14]",Tiny Talents is a small game focused on growing your pets various skills by feeding it candy When you feel your pets skill is good enough buy a report card send it off to the local talent show for a chance to win a shiny trophy Your pet will get tired after a few too many shows so be sure to only send them to one once youre sure theyll win,Missing,nan,nan,nan,nan,nan,nan
1665532800,[32],221482,Slicing Slicing,[6],Slicing Slicing is a casual game where players can score points by cutting a small ball that appears on the screen in half,Missing,nan,nan,nan,nan,nan,nan
1666742400,"[12, 13, 31]",221481,Relayer Advanced,[6],This game depicts the fierce battle between the Starchildren and the extraterrestrial Relayer and lets you use the Hate and Big Bang systems to lead the battle to victory,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1666915200,[31],221475,Stockwrk7,[6],A short First Person HorrorAdventure on a single Floor Explore the Floor and try to solve the riddles But dont get too deep into it You dont know what youll find,Missing,nan,nan,nan,nan,nan,nan
1666224000,"[31, 32]",221467,Feathered Run,[6],Feathered Run is a 4button precision platformerrunner with 2D graphics Embark on an exciting escape through Antarctica Playing as one of the seemingly helpless penguins,Missing,nan,nan,nan,nan,nan,nan
1665705600,"[15, 32]",221426,Numeral Lord,[6],minimalism strategy game,Missing,nan,nan,nan,nan,nan,nan
