,id,name,platforms,summary,genres,storyline,main,extra,completionist,review_score,review_count,people_polled
477,149596,Slaughterhouse,[6],Grabbing some weapons off the ground and slipping on a bulletproof vest you head out to escape the slaughterhouse that has held you captive and transformed you into the bovine hybrid you are today Your fellow bovines need you,Missing,Missing,,,,,,
478,149593,Miguelshroom: First Day at School,[6],Reassemble Miguelgumelos first day at school in this puzzle followed by a narrative on a topdown platform Guide the cute mushroom that lives in a fantastic world in its discoveries,[32],Missing,,,,,,
479,149571,Samurai Chess,[6],The classical game of chess now with Samurai Warriors Play chess against your friends or versus the computer unlock new scenarios and chess pieces and prove yourself to be a real Samurai,"[9, 13, 15]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
480,149540,Parallax Tunnel,[6],Parallax Tunnel is a firstperson runnerstyle arcade game,[32],Missing,,,,,,
481,149498,Recoiled,[6],Join a friend in this freetoplay online multiplayer PvP game with insane 2D physics Select from several unique game modes such as Freeforall Racing mode and Target mode Note both players must have a Steam account to play,[32],Missing,,,,,,
482,149455,Puzzle Light,[6],Swap the pieces to form the circuit and turn on the lights in this puzzle game,[32],Missing,,,,,,
483,149417,Games and Girls,[6],This game is a classic puzzle game with several levels of difficulty and beautiful arts Enjoy,[32],Missing,0.0,0.0,0.93,70.0,1.0,1.0
484,149389,Cute Honey 3,[6],This is a casual decryption type mini game Players can draw various line segments in the game level to guide the water flow to the bottle to pass the level,Missing,Missing,0.67,0.0,1.05,0.0,0.0,2.0
485,149385,Girl Jigsaw,[6],This is a beautiful girl puzzle interactive game in the game your goal is to put the puzzle pieces together and interact with the character,"[15, 32]",Missing,0.0,0.0,0.17,60.0,1.0,1.0
486,149334,Garden Magic,[6],A short match 3 game with unique mechanics,"[15, 31, 32]",Missing,,,,,,
487,149324,Soul Challenge,[6],After people died the soul will go to its destination or will be punished and reborn In the game you will play a lost soul in hell and his girlfriend and you will face a series of challenges After completed the series of challenges you will reach the victory of eternal life,"[10, 13, 14, 15, 31, 32]",Missing,,,,,,
488,149320,Battle Guns Simulator,[6],Welcome to Battle Guns Simulator with great gameplay lots of customizations weapon options and accessories Start this game and test your skills,"[5, 13, 32]",Missing,,,,,,
489,149296,No Parachute,[6],No Parachute is a fastpaced arcade game with a pixel art style in which you will dodge various obstacles in free fall Try to find out what is on the other side of the tunnel and save your arms and legs along the way,[32],Missing,0.0,0.0,12.71,90.0,2.0,1.0
490,149246,Fantasy Dungeon,[6],Fantasy Dungeon is a randomly generated action RPG shooter with infinity levels Try to pass as many levels as possible and become a real hero,[32],Missing,0.0,0.13,0.0,0.0,0.0,1.0
491,149238,Exorcised,[6],Become an Exorcist Defend your city from evil demons by using cute towers designed as shrine maidens Fight hordes of demons using powerful Alliances and strategize your way towards victory Upgrade your defense after each map until youll be able to face the root of all evil,"[15, 32]",Missing,,,,,,
492,149237,Times Infinity,"[3, 6]",Times Infinity is a surreal storyfocused adventure game about doing tasks before a deadline to prevent your death in an offbeat university with even more offbeat dorm mates  In addition to light adventure game mechanics it contains light platforming and shooting elements  The initial scenario is as follows you are PARA an up and coming freshman at the Tiffson Institute all seems to be going well as you move in until you get an odd task from a mysterious creature Asking you to take all of your dorm mates out for a meal failing this challenge will lead to your demise With no other choices in tow you push forward to complete this challenge Then it all gets odder from there  In addition to the above the player will also be able to unlock outfits for the player to wear,"[31, 32]",Missing,1.56,2.5,3.86,60.0,1.0,6.0
493,149209,Rabbit Riot,[6],The dark story about a scientist who tried to transplant a man into a rabbit,"[31, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
494,149185,Karting,[6],Climb aboard your kart and beat records alone or with friends in a unique arcade game,"[10, 13, 32]",Missing,0.0,0.0,0.0,20.0,1.0,0.0
495,149144,Sato Dreams,[6],Sato Dreams  A colorful and bright arcade game where the player dodges bullets and picks up colored bonuses that increase the impact power but which get confused when the bonus colors are mixed dozens of enemies and an unlimited journey into the arcade world,[32],Missing,,,,,,
496,149131,Hero Sword,[6],Hero Sword is a 2d slasher game in which the player dodges tackles cuts enemies with a sword accumulates mana hits with powerful charges of magic and fights off the advancing waves of monsters,[32],Missing,,,,,,
497,149116,Broken Dungeon,"[6, 163]",A procedurally generated VR roguelike dungeon crawler with magic and melee combat and supporting single player or asymmetrical multiplayer experiences,[32],Missing,,,,,,
498,149114,Dark Facets,"[3, 6]",Dark Facets is a 2d strategy action game in the tower defense genre with the unusual mechanics and a unique storyline In the role of a dark magician you will have to build your own citadel mine resources and engage in battle with a dangerous enemy,"[15, 32]",Missing,,,,,,
499,149090,Inside My Mind,[6],In my mind this game with a bright main character will reveal to you an incredible colorful world,"[31, 32]",Missing,,,,,,
