first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1041292800,117316,Sandmen,[6],Sandmen is a free German 2D pointandclick adventure You are sleeping and are awakened by some voices who turn out to be sandmen Since you saw them they want to take you with them unless you manage get them a person who commits suicide The game is controlled via the mouse and is inventory based Aside from the cutscenes there is no music or sound,[2],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,116972,Taxi Challenge: London,[6],There are rumours that a competition called the London Challenge is soon going to take place in order to determine who is the best taxi driver in the British capital In this quasisequel to Taxi Challenge Berlin players start by choosing a traditional Black Cab or one of three sports cars and then try picking up passengers around town and driving them to their destinations as quickly as possible,[10],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,114139,Myth of Ambition,[6],Myth of Ambition is a turnbased strategy game about gang wars in the capital of colonial Korea The player chooses a scenario between 1931 and 1945 and a main character before fighting for dominance in Seoul The game involves personnel and resource management administration of territories and tactical brawls between gang members,"[15, 24]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,110425,Scally's world of problems,[6],Scallys world of problems is an educational puzzle game released for windows 95 by Topologika Software  In the game you explore many predesigned stages in an attempt to get to the end  There are many different styles to the stage merely changing the tiles and music  These themes consist of Atmosphere Forests Land Oceans Space Underground Waglings and Zoo  The game also includes a level designer in which you can choose the tilesets size and of course layout,[9],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,97736,Bygg hus med Mulle Meck,"[6, 14]",Gary Gadget called Mulle Meck in Sweden and Masa Mainio in Finland finds his house in debris after a storm caused a tree to fall on it He promptly starts to build houses In this instance you can travel around the game map via both car and boat,"[2, 9]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,94997,Quake 2: Co-Op or Die!,[6],COOP or DIE is a cooperative Quake 2 mod that use the WorldServer technology for online gameplay    Players account with name and password  Inventory score and various stats saved  Master server  Interactions between Quake2 and a webchat  Modification of map entities add remove and modify monsters items   Persistance of death player body  A custimized HUD dedicated to coop with health armor distance and direction of other players,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,94810,Legion,"[6, 14]",Legion is a game of conquest battle diplomacy and economics As ruler of your own nation you will strive to outmaneuver outfight outtalk and outproduce up to 20 enemies in an intense struggle to rule the boot of Italy Britannia or Gaul  Grow your cities by collecting resources such as wood and ore to increase your armies in numbers and types like building a Fletcher provides archers to your troops Once you amass your troops you can declare war on your neighbors and proceed to capture cities to claim as your own Combat is purely tactical in the sense you only select the type of troops how many in what formation and how to attack hold for a few seconds then advance advance for a little then hold etc Once the battle begins you have no control of your armies Combat is not the only option as you can form alliances with other nations and offer peace to a nation at war with you Once you have conquered 40 of the map and it is at least 25 bigger than the next largest nation you are victorious  Legion is a single player game only Some of the unique features include historical accuracy in maps uniforms and weapons that reflect the country you play in and large numbers of AI opponents with their own strengths and weaknesses,[11],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1041292800,94363,Progress Quest,"[3, 6, 34, 82]",Progress Quest is a video game developed by Eric Fredricksen as a parody of EverQuest and other massively multiplayer online roleplaying games It is loosely considered a zeroplayer game in the sense that once the player has set up their artificial character there is no user interaction at all the game plays itself with the human player as spectator,"[13, 32]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1041292800,93395,Atari Revival,[6],Atari Revival is a compilation with three remakes of Atari games from the late seventies and early eighties   Warlords  Combat  Missile Command,"[15, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,93353,Masq,[6],Masq is an interactive comic with typical soap opera elements such as love betrayal and murder and the portrayal of characters in a pulp fiction fashion It consists of five seamless episodes which can be finished in an hour but depending on the choices different storylines and plot twists can be explored,"[31, 34]",Missing,Missing,nan,nan,nan,nan,nan,nan
1040256000,92988,Dinosaur Resurrection,[6],A remake of Nihon Falcoms 1990 dungeon RPG Dinosaur The game now uses a 3D environment for the main visuals along with a reworked soundtrack and user interface A minimap has been added along with extra movement options item shortcuts and other general rebalances to the game The party formation system has been expanded on and some new bow skills were added,"[12, 31]",Ash is the legendary mercenary who is said to return from any battle alive while his allies are defeated But in this age of peace there is no battlefield for him Yearning for conflict he is seemingly guided by a white butterfly to Zamhana crawling world in which tragedy gives birth to madness and disorder in the space between life and death and endless resentment can become the irrelevant words of a distant age All it can offer is chaos and then destruction,Missing,0.0,0.0,0.0,0.0,0.0,0.0
