,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
43,11088,Alien Shooter 2: Reloaded,[6],During the first half of the 21st century the war on terror became a global phenomenon as more blatant and frenzied attacks struck deeper into the lives of common people Inevitably the public outcry to stop the madness grew to an irresistible level the military forces of the world slowly but steadily retooled their approach weapons and tactics to combat people who were willing to die for their cause One of the consequences was the harassment of civilians on an unprecedented scale leaving destruction and misery in its wake  The world was soon rebuilt and a new age of prosperity and technological progress began Science focused on creating a viable fusion power source and new technologies which would exploit this new power A group of corporations was granted almost total freedom in order to pursue these goals This may have seemed dangerous a hundred years ago but in 2112 it was considered appropriate and was supposed to foster creativity and growth on an unprecedented scale It didnt,"[12, 32, 33]",77.97203572674977,Missing,5.24,6.01,6.19,69.0,42.0,62.0
44,190,LEGO Star Wars II: The Original Trilogy,"[6, 12, 14]",LEGO Star Wars II The Original Trilogy takes the fun and endless customization of LEGO and combines it with the epic story characters and action from the original Star Wars movies that revolutionized pop culture forever Episode IV A New Hope Episode V The Empire Strikes Back and Episode VI Return of the Jedi With a unique tongueincheek take on the Original Trilogy LEGO Star Wars II follows the Rebel Alliances crusade to dismantle the Galactic Empire and rebuild a galaxy in pieces  Build and battle your way through your favorite film moments from Darth Vaders pursuit of Princess Leia aboard her Blockade Runner to a showdown on the second Death Star as the game includes even more of the familyfriendly LEGO action puzzles and humor that earned the original LEGO Star Wars such popularity and acclaim  And much more new to offer it still has For the first time ever characters can get in and out of vehicles as well as ride creatures You can also mix and match the body parts of more than 50 playable characters to create one of millions of possible LEGO Star Wars heroes,"[8, 31]",77.63990096237933,Missing,10.93,17.9,30.6,74.0,352.0,191.0
45,2592,DEFCON,"[3, 6, 14]",You play the role of a military commander hidden deep within an underground bunker Your mission  to successfully exterminate your enemys civilian population whilst disabling their ability to attack your own Start by launching your battleships submarines and bombers in order to decimate your opponents defences Scramble together your alliances but remember only one can stand victorious Prepare your preemptive strike before one of your supposed allies get the same idea Choose the perfect moment for betrayal obliterating your opponents with an apocalyptic thermonuclear barrage but get it wrong and their devastating counter attack will bring you to your knees,"[11, 15, 32]",77.37476889140753,Missing,1.2,3.59,6.5,60.0,31.0,31.0
46,7215,Test Drive Unlimited,"[6, 12]",Test Drive Unlimited is the ultimate automotive experience for car and bike enthusiasts alike Visit the most sophisticated car and bike dealers to purchase new vehicles or simply take them for a spin Collect and trade rare performance parts and customize each vehicle to make it oneofakind Test Drive Unlimited challenges players online to experience the most exotic and fastest vehicles on more than 1000 miles of diverse Hawaiian roads Gamers win races challenges missions and tournaments to earn credits and purchase new cars bikes rare performance parts clothes apparel homes and garages,[10],76.73935237893305,Missing,27.42,49.48,101.2,78.0,78.0,60.0
47,7508,Caesar IV,[6],Starting as governor of a newly formed province in the Roman Empire your goal is simple advance up the empires political ladder to become the next Caesar,"[13, 15]",74.62688050874122,Missing,16.2,30.0,100.0,70.0,11.0,4.0
48,429,Call of Juarez,"[6, 12]",Call of Juarez is an epic adventure western themed FPS game The player alternately assumes the roles of two distinct antagonistic characters a sneaking fugitive Billy and his hunter the reverend Ray Apart from the highly interesting emotional and psychological aspect of the link between the two,[5],74.36118261541614,Missing,7.84,9.34,10.74,71.0,255.0,303.0
49,5145,Secret Files: Tunguska,"[5, 6, 20, 34, 39, 41, 130]",Unravel one of the greatest mysteries of our time On the 30th June 1908 an explosion with the combined energy of 2000 Hiroshima bombs rocked the region of Tunguska in Central Siberia and felled over 6000 square km of trees The explosion could be heard from as far as 1000km away,"[2, 31]",72.83700508694501,Missing,9.17,11.78,12.32,73.0,58.0,81.0
50,696,FIFA Soccer 07,"[6, 8, 11, 21]",FIFA 07 also known as FIFA Football 07 and FIFA 07 Soccer is the 2006 edition of EA Sports series of football simulator video games Developed by EA Canada it is published by Electronic Arts  It was the last game in the FIFA series to be released for the GameCube Xbox and Game Boy Advance and the first to be released for the Xbox 360 The nextgeneration graphics and physics engine used in the Xbox 360 version will be exclusive to the console for a period of 12 months It was also released for PC Nintendo DS PlayStation Portable and PlayStation 2  There are seven different covers of FIFA 07 each with a different player depending on which region the game is sold in Ronaldinho FC Barcelona graced the cover of all the games and was joined by Landon Donovan Los Angeles Galaxy and Francisco Fonseca UANL Tigres in North America Wayne Rooney Manchester United in the United Kingdom Australia and the Benelux Lukas Podolski Bayern Munich in Germany David Villa Valencia in Spain Kaká Milan in Italy Juninho Lyon in France Tranquillo Barnetta Bayer Leverkusen in Switzerland and Kim NamIl Suwon Samsung Bluewings in South Korea  FIFA 07 sponsored Accrington Stanley for the 200708 season with the FIFA 07 logo displayed on the back of the teams shirts,[14],72.61857999514757,Missing,,,,,,
51,22422,Sexy Beach 3,[6],Sexy Beach 3 is the third game in the Sexy Beach franchise developed by Illusion Software,"[13, 31]",71.69229938825035,Missing,0.0,0.0,0.0,0.0,0.0,0.0
52,4055,Open Season,"[6, 12]",Open Season is a video game based on the movie of the same name It was released for Wii PlayStation 2 PlayStation Portable Microsoft Windows Game Boy Advance Xbox 360 Xbox Nintendo DS and Nintendo GameCube The Nintendo DS version supports the Nintendo WiFi Connection  While Patrick Warburton Matthew W Taylor Nika Futterman and Danny Mann reprise their roles from the movie most of the original people were replaced for example Chris Williams and Matthew W Taylor are the voices of Boog and Elliot in this game,[31],70.03268304346803,Missing,3.39,4.25,7.44,55.0,37.0,31.0
