,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
224,22151,Chip's Challenge 2,[6],Chip is back and this time hes teamed up with Melinda to try and solve even more puzzles built from a combination of new and old monster hazards and game elements created by Vladimir Gerajkee The Puzzle Master,"[9, 15, 31, 32]",Missing,70.0,0.0,0.0,37.65,65.0,3.0,2.0
225,21597,Lost Orbit,"[3, 6, 14, 48]",Stranded after his ship is destroyed in deep space Harrison a lowly maintenance worker and our hero must struggle to find his way home  LOST ORBIT centers around the exploration of space Players take control of a lone astronaut Harrison who sets off on a dangerous journey to rejoin his civilization armed with only an improvised set of equipment and a relentless spirit Without the help of his ship Harrison will need to use the gravitational forces of planets to navigate and propel himself through space  Set in a world rich with comedy and tragedy LOST ORBIT is a game filled with risk loneliness wonder and death,"[31, 32]",Missing,70.0,3.5,3.7,0.0,73.0,3.0,4.0
226,18922,Riff Racer,"[6, 39]",Riff Racer brings a fresh twist to music gaming Not a rhythm game but a challenging arcade racer where you race the song itself and score for how well you stay in Sync Action on track is synced to the audio  players literally have to race the music to stay in time and score points Verses choruses and drops become checkpoints and the environment colours and cars are styled to the genre of music youre playing,"[7, 10, 32, 33]",Missing,70.0,3.55,13.8,36.42,72.0,9.0,14.0
227,11424,Sym,"[6, 14]",Sym is a puzzleplatformer that explores social anxiety disorder Play as Josh a teenage boy trying to reconcile a maze of two contrasting worlds that coexist within the blank spaces of each other  his perception of reality and the world he created to avoid his fears,"[8, 9, 32]",Guide Josh a teenage boy affected by social anxiety disorder through a shifting maze of of blackandwhite Move at will between reality and the world Josh created to avoid his fears but beware of the dangers lurking across the divide,70.0,3.3,0.0,0.0,0.0,0.0,1.0
228,11297,Freefall,"[6, 14, 34]",Freefall is a mobile game that will test your quick responses and keep you engaged in endless fun of dodging obstacles and amassing points through wit and powerups,"[26, 32]",Take control of a free falling block and have fun avoiding obstacles and collecting points,70.0,,,,,,
229,10093,High Strangeness,"[3, 6, 14, 41]",High Strangeness is a hybrid of 8 and 16 bit games  a 12 bit adventure The inspiration of the game comes from many ActionAdventure and RPG games of yesteryear The games core ability is to switch between 8 and 16 bit worlds and the player uses their generational differences to solve puzzles and explore the universe Throughout the game your pixel art perspective of the world will be infused with visions of watercolor illustrations that shed some light on your mysterious surroundings The chiptune soundtrack by Dino Lionetti and Rich Vreeland backs up the aesthetic of the world and sets the mood for strange happenings,"[12, 31, 32]",Missing,70.0,3.03,3.15,3.5,50.0,1.0,5.0
230,16299,Dying Light: Bozak Horde,"[6, 48, 49]",The Bozak Horde DLC was released on the 29th of May and could be obtained by season pass owners or by a separate purchase  The player wakes up in a small room and is told by the mysterious Bozak that a bomb has been attached to your leg and are required to follow his requests Through the DLC the player must attempt to complete 20 trials in the Harran stadium to get your freedom back and the recipe to the Bozak bow and its arrows,"[5, 31]",Missing,69.90992010832578,,,,,,
231,33967,Higurashi When They Cry Hou: Ch.1 Onikakushi,"[3, 6, 14, 130]",Higurashi When They Cry is a sound novel  The music backgrounds and characters work together to create a world that is the stage of a novel for the user to read They laugh and cry and get angry The user takes the point of view of the protagonist to experience the story,"[31, 34]",The 58th year of Shouwa early summer Its June and the summer heat has arrived earlier than it does most years By day there are crickets and by night there are cicadas  Were in Hinamizawa a small village in the countryside There are fewer than two thousand people here But every year there is an event  This event is a mysterious death The series has run from 1979 to 1983  On a certain day in June someone dies and someone else goes missing The series of deaths is connected to the upheaval surrounding the dam construction project A murder case that was covered up is being reenacted Is it a conspiracy A coincidence Or perhaps a curse  Someone who was supposed to be there isnt Someone who wasnt supposed to be there is  Someone who was alive last night is dead now And someone who is here right now isnt alive  So there is no way to avert tragedy There is no choice but to give up But dont give up  Only you can stand up to this,69.75012481118785,,,,,,
232,6045,Not a Hero,"[3, 6, 14, 48, 49]",Professional assassin turned amateur campaign manager Steve is charged with cleaning up the city by an anthropomorphic rabbit and mayoral candidate from the future named BunnyLord Now Steve and his expanding roster of dubious heroes must wield their unique skills to shoot slide dive and take cover behind a political platform built on ethics accountability and an inordinate amount of gunfire Eliminate the criminal underworld of the citys three major districts and persuade undecided voters to your cause tackling the issues that matter by putting a gun in the mouth of those issues Through the power of ISOSlant technology and a wasted youth Londonbased developer Roll7 OlliOlli delivers the greatest 2¼D coverbased indie shooter of alltime ever,"[5, 24, 31, 32, 33]",Missing,69.70732605018468,5.07,6.6,9.92,70.0,71.0,87.0
233,13104,Snakebird,"[3, 6, 14, 34, 39]",What is the longest possible length a bird can be Obviously a question only all the fruit in the world can answer But where could all this fruit be hiding Follow Redbird Greenbird and Bluebird on a quest for an amount of fruit beyond any birds wildest dreams  Snakebird is a very simple but deceptively challenging puzzle game about assuming the right shapes for the task at hand be it pushing lifting teleporting or just defying the laws of physics,"[9, 32]",Missing,69.44265701728892,7.56,9.11,10.51,69.0,24.0,39.0
