,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
25,117711,Shadow of the Tomb Raider: The Path Home,"[3, 6, 14, 48, 49, 170]","[5, 31]",Following the end of Shadow of the Tomb Raider the dust had settled and the battle seemed over However when allies go missing Lara must search ancient tunnels to try and find them Laras new journey features a brandnew challenge tomb which contains a secret thats been hidden for ages  Also exclusive to the Season Pass are the new Midnight Sentinel outfit which enables longer focus and perception durations and the Silver Strike bow which causes arrows to penetrate enemy body armor or even pierce multiple unarmored enemies In addition the new Magic Touch skill allows Lara to consume fewer resources when crafting on the go Completing the Season Pass additions Score Attack and Time Attack are now playable for all tombs from the main game,Abigaile Ortiz tells Lara Croft in Mission of San Juan that she read from her grandmothers journal of a vision of a future She asked that they meet up again after Lara has taken care of the Silver Box of Ix Chel problem she currently faces Later after the battle in Paititi Lara went back to Mission of San Juan She met up with Abigaile Jonah Maiava and Qorianka Qorianka told Lara that the Yaaxil had cone missing and Abigaile revealed that this was her grandmothers vision They found tunnels beneath the library that connected Mission of San Juan and Paititi Lara went to investigate fourght some Trinity soldiers also tracking the Yaaxil and found a broken silver gate to the realm of Xquic Lara learns the history of the Yaaxil there and finds a Thank You note left to her by Crimson Fire,Missing,0.81,0.91,1.06,73.0,40.0,44.0
26,117534,Human: Fall Flat + The Flame in the Flood Bundle,[49],"[8, 9, 31, 32]",Missing,Missing,Missing,,,,,,
27,117528,Indie Darling Bundle Vol.3,"[49, 130]","[5, 8, 31]",Four fantastic indie favourites from Digerati This bundle contains Omega Strike Shikhondo  Soul Eater Nefarious and 1979 Revolution Black Friday,Missing,Missing,,,,,,
28,117520,ACA Neo Geo: Samurai Shodown V Special,"[6, 48, 49, 130]","[4, 33]",Samurai Shodown V Special is a fighting game released by SNK in 2004 Bringing together 28 of your favorite characters including past bosses The familiar Rage Explosion Concentration One and Fatal Flash mechanics from previous titles in the series are still here and you cant miss this chance to take down your opponents in one hit with flashy Over Kill Moves,Missing,Missing,,,,,,
29,117492,Just Cause 4: Dare Devils of Destruction,"[6, 48, 49]",[31],Complete new missions to unlock over 16 allnew weaponized vehicles that you can drop in at a moments notice Experience new levels of destruction attack missions in never before seen ways employ new tactics against the forces of the Black Hand and cause pure mayhem in the world of Solis  Put the pedal to the metal earn the respect of rival gangs and take on three deadly challenge modes across 15 explosive new missions,Missing,Missing,,,,,,
30,117488,Crossovers by Powgi,"[46, 48, 49, 169]",[9],Crossovers are little crosswords with only one letter missing Once found the missing letters can be rearranged to spell the answer to to a cryptic clue,Missing,Missing,,,,,,
31,117487,Planet Coaster: Classic Rides Collection,"[6, 14, 49, 169]","[13, 15, 31]",Inspired by some of the most iconic and classic attractions from fairgrounds and theme parks around the world Classic Rides Collections comes to Planet Coaster to add a touch of nostalgia and class to your park This collection includes nine new rides and coasters with one variant including the Macchina Classica vintage roadster Armada the water based boat ride the graceful Sky Temple plus more rides and coasters to help you build the park of your dreams,Missing,Missing,,,,,,
32,117325,Super Star Blast,"[6, 48, 49, 130]","[4, 5, 32, 33]",Super Star Blast is a space based game with challenging levels of increasing difficulty All enemies must be shot down to finish a level and go to the next one A scanner around the player tells roughly where the enemies are located,Missing,Missing,,,,,,
33,117232,Emergency Water Landing,"[6, 49]",[32],Emergency Water Landing is a local multiplayer party game where a sinking aircraft is the least of your worries Control high powered rescue rafts while competing against opponents to save passengers from imminent danger launching them to their presumable safety,Missing,Missing,,,,,,
34,116875,Foxyland 2,"[6, 46, 48, 49, 130]","[8, 31, 32, 33]",Get ready to plunge into an exciting new platforming adventure with Foxy,Missing,Missing,1.24,2.22,2.31,54.0,8.0,16.0
35,116790,Frane: Dragons' Odyssey,"[6, 39, 46, 48, 49, 130]","[12, 31, 32]",An odyssey to the world below Set out for in search of a missing girl and venture out in a fantasy action RPG,Missing,Missing,7.71,0.0,13.88,67.0,3.0,5.0
36,116659,Overcooked! 2: Campfire Cook Off,"[3, 6, 14, 48, 49, 130]","[13, 32]",In Campfire Cook Off players take to the Trail Mix Trail with the Onion King Kevin the Dog and four new chefs Tackle two new recipes under the stars whilst keeping the campfires stoked with firewood What camping trip is complete without a trusty back pack Players will need to get to grips with this new mechanic which takes ingredients on the move,Missing,Missing,,,,,,
37,116577,Tera: Reloaded,"[48, 49]",Missing,Missing,Missing,Missing,,,,,,
38,115905,Outbreak: Lost Hope,"[3, 6, 48, 49, 130, 167]","[5, 12, 31, 32]",A mother desperately struggles against the undead and searches for her lost daughter in this hardcore survival horror nightmare,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
39,115751,Moto Rush GT,"[49, 130]","[10, 13, 14, 33]",Fastpaced polished and dynamic motorbike racing now on Nintendo Switch One of a kind game entirely playable with ToyCon Motorbike Forget about speed limits and traffic rules cause on this road youre the boss A unique mix of endless and arcade racing game featuring countless hours of fun,Missing,Missing,5.5,9.0,14.0,50.0,3.0,5.0
40,115474,Neverwinter: Undermountain,"[6, 48, 49]","[12, 31]",Undermountain is the 16th module of Neverwinter,Missing,Missing,,,,,,
41,115313,UglyDolls,"[6, 48, 49, 130]","[9, 31, 32]",Robots are cool when theyre blinking lights and zooming by with their sleek metallic finish In UglyDolls An Imperfect Adventure a whole horde of robots are on the loose and taking over Uglyville trying to make it perfect,Missing,Missing,,,,,,
42,115302,Trials Rising: Sixty Six,"[6, 48, 49, 130]","[10, 14]",Ride the famous Route 66 and explore the epic Southwest region of the states with an American football player outfit included,Missing,Missing,,,,,,
43,113489,Vasilis,"[6, 14, 46, 48, 49, 130]","[8, 9, 12, 31, 32]",Vasilis is a handdrawned adventure game where the player has to overcome a difficult path in order to find the husband of the main character Peter lost in the burning and rebellious city The city has been experiencing revolutionary events for several months already,Missing,Missing,0.0,2.09,3.0,55.0,2.0,3.0
44,107722,Fight the Horror,"[6, 49]",[32],Fight the Horror is a multiplayer third person action role playing game with a horror theme,Fight the Horror is a whole new survival experience A group of young people abducted and forced to participate in a game by a mysterious organization They are 7 days to solve the mystery and defeat the boss to escape otherwise   7 days may seem enough at first but soon they know they are trapped in a small room at day time and can only get out to explore during night time Intelligence and supplies gathered through many struggles will be no more if one does not get back to the safehouse by dawn  A game that brings you the excitement of a lunatic human experiment situation now let you experience even more with a friend through splitscreen Can you overcome fear and fight the horror,Missing,,,,,,
