first_release_date,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1692921600,263370,Armored Core VI: Fires of Rubicon - Premium Edition,"[6, 48, 49, 167, 169]",Missing,Armored Core VI Fires of Rubicon  Premium Edition is exclusive to the Bandai Namco Store and comes with  Full game Garage  A garage where you can park your Armored Core inspired by the one available in the game Size 32 cm Armored Core Figurine  Size 19 cm Steelbook  Original art steelbook case Pin Badges  A set of 4 pin badges featuring ingame emblem patterns Stickers  A set of 45 stickers to personalize your computer mobile phone etc Artbook  An exclusive 40page hardcover artbook Dive deep into the world of Armored Core VI Fires of Rubicon with neverbeforeseen visuals Digital Soundtrack  The complete Armored Core VI Fires of Rubicon original soundtrack,[31],Missing,nan,nan,nan,nan,nan,nan
1692921600,263243,DreamWorks Kids Bundle,"[49, 130]",Missing,An Outright Games bundle in support of UNICEF Featuring a collection of family fun games available to purchase for a limited time,[31],Missing,nan,nan,nan,nan,nan,nan
1692835200,263228,Sniper Elite 5: Complete Edition,"[49, 169]",Missing,Sniper Elite 5 Complete Edition includes the base game Season Pass One and Season Pass Two,[5],Missing,nan,nan,nan,nan,nan,nan
1692835200,263028,Guilty Gear: Strive - Additional Character 10: Johnny,"[6, 48, 49, 167, 169]",Missing,This allows the character Johnny to be used ingame,[4],Missing,nan,nan,nan,nan,nan,nan
1692835200,262883,No Man's Sky: Echoes,"[6, 14, 48, 49, 130, 162, 167, 169, 390]",Missing,Meet a secret society of robotic aliens in update 44 ECHOES Furthering the narrative introduced in INTERCEPTOR explore the mysteries of the Autophage perform their rituals learn their language and assemble your own ceremonial staff In deep space confront huge outlaw dreadnoughts sweep through their trenches and destroy vulnerable components in new tactical space combat  and much more,Missing,Missing,nan,nan,nan,nan,nan,nan
1692748800,262657,Puzzle by Nikoli W Kakuro,[49],Missing,The royal road of pencil puzzles this puzzle is extremely fun In Kakuro you break down the totaled numbers given as hints to fill in the spaces Well We say break down the numbers but in Nikolis Kakuro very little calculations are actually required with concentration and the power of deduction being the most necessary attributes,Missing,Missing,nan,nan,nan,nan,nan,nan
1692316800,262570,Path of Exile: Trial of the Ancestors,"[6, 48, 49]",Missing,In this expansion you will visit the Karui afterlife and defeat ten tribes in a series of tournaments to earn valuable new rewards  Our August expansion introduces the Trial of the Ancestors challenge league 16 new Atlas keystones reworks of the Guardian and Chieftain Ascendancy classes 14 new support gems and the return of a fanfavourite past league The Forbidden Sanctum,Missing,Missing,nan,nan,nan,nan,nan,nan
1692662400,262539,Minecraft: Disney - Worlds of Adventure,"[6, 34, 39, 48, 49, 130, 169]",Missing,Step into the magic of six classic Disney tales with this unique map Explore the world of Aladdin and the sea of The Little Mermaid Help Snow White or take a trip with Alice in Wonderland You can even meet Simba in the savanna or dine with Belle and the Beast in their castle,"[13, 31]",Missing,nan,nan,nan,nan,nan,nan
1692662400,262531,Destiny 2: Lightfall - Season of the Witch,"[6, 48, 167, 169]",Missing,To pursue the Witness Eris Morn must turn to the magic of the Hive and accept a deal that Savathûn crafted before her death To honor our end of the bargain Guardians must become masters of the arcane and harness the power required to defeat a god,"[5, 31]",Missing,nan,nan,nan,nan,nan,nan
1692316800,262251,The Texas Chain Saw Massacre: Slaughter Family Execution Pack 1,"[6, 48, 49, 167, 169]",Missing,Unleash terror on your Victims with these new gutwrenching executions for the Slaughter Family This pack features one kill each for Leatherface The Cook The Hitchhiker Sissy and Johnny Happy hunting,[32],Missing,nan,nan,nan,nan,nan,nan
1692316800,262234,Pirate Bloopers,"[49, 169]",Missing,Pirate Bloopers is an isometric action game in the style of time survival where you take a control of a ship in the dangerous waters of the Pirate Bay The sea is calling,[13],Missing,nan,nan,nan,nan,nan,nan
1692316800,262224,Fantasy Defenders Bundle: Defend the Rook & Legend of Keepers,"[49, 169]",Missing,Experience two fantasy turnbased strategies Card Battle Legend of Keepers and Defend the Rook  a roguelike tactic,Missing,Missing,nan,nan,nan,nan,nan,nan
1692230400,262056,Let's Build a Zoo: Aquarium Odyssey Bundle,"[49, 169]",Missing,Experience Springloadeds Zoo management sim Lets Build A Zoo alongside the newest DLC Lets Build A Zoo Aquarium Odyssey  Construct and decorate enclosures buy and breed animals hire zookeepers and vets then try your hand at DNA splicing,"[13, 15]",Missing,nan,nan,nan,nan,nan,nan
