,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
35,243800,The Mega FMV Bundle,[49],Missing,Wales Interactive is proud to offer the Mega bundle for their very best FMV games Featuring The Complex Late Shift The Bunker The Shapeshifting Detective The Infectious Madness of Doctor Dekker Five Dates Who Pressed Mute on Uncle Marcus Bloodshore Night Book and I Saw Black Clouds in one bundle,Missing,Missing,,,,,,
36,243799,Road 96: Mile 0 - Full Journey Bundle,"[49, 130, 169]",Missing,The Road 96 Mile 0  Full Journey Bundle contains the critically acclaimed Road 96 and its prequel Road 96 Mile 0,"[7, 31]",Missing,,,,,,
37,243798,Meet Your Maker: Deluxe Edition,"[49, 169]",Missing,The Deluxe Edition includes the base game and the Scorched Necropolis Collection Build and raid in postapocalyptic style or use ancientEgyptianinspired blocks props weapons and Custodian Suits to create and infiltrate Outposts unlike any other in the wasteland,Missing,Missing,,,,,,
38,243794,Double Puzzled,[49],Missing,Two puzzle games for the entire family Play Single player Ghost Sweeper or Rusty Spout Rescue Adventure Rusty Spout Rescue Adventure features local two player mode so you can also challenge others  Ghost Sweeper features eight world with 8 levels in each world with secret levels  Rusty Spout Rescue Adventure the most colorful puzzle game ever Story mode Endless mode and 2 Battle mode where you can play against a friend in local multiplayer,Missing,Missing,,,,,,
39,243777,Call of Duty: Modern Warfare II - Season 03,"[6, 48, 49, 167, 169]",Missing,Weapons hot vaqueros Alejandro and Valeria face off in Season 03,[5],Missing,,,,,,
40,243763,Ultra Pixel Survive,"[48, 49, 130, 167, 169]",Missing,In Ultra Pixel Survive youll find yourself in a pixel world where a young guy named Thomas lives Today he is going on a journey across the country and you will be his company On the screen you will see your character in a certain place Using the control keys you will guide your hero forward On his way there will be various traps and dangers that he will have to overcome with your guidance Sometimes the character may encounter monsters and wild animals which you can destroy using different weapons from your characters inventory,"[12, 31]",Missing,,,,,,
41,243440,Vampire Survivors: Tides of the Foscari,"[6, 34, 39, 49, 130, 169]",Nestled deep within a continentsized forest is Foscari Academy a school where the elite of the world train their children for careers as powerful wizards indefatigable generals and expert spies The Academy is divided into three houses a premise hitherto untouched in all of fantasy fiction Three students one from each house brave the journey into a forest stuffed with mythological creatures all to have a jolly adventure with absolutely nothing interrupting the whimsy This is all mindblowingly original stuff we know but it only gets better folks,Tides of the Foscari will be the second DLC expansion for Vampire Survivors introducing another huge stage as well as a slate of new characters monsters and weapons to play with And of course secrets may be lurking in the shadowed canopies of the deep forest But as always we can neither confirm nor deny the presence of vampires,"[12, 32, 33]",Missing,4.51,5.05,6.83,82.0,27.0,42.0
42,243396,Secret Agent: Cold War Espionage,"[49, 169]",Get ready for a wild ride secret agent Youll be on the edge of your seat as you embark on a mini spy game filled with heartpounding action and exciting missions Your goal To stop a nefarious super villain from taking over the world From exotic locations to glamorous hotels and swanky casinos youll jetset around the globe in pursuit of the legendary Royale Diamond  Set in the groovy and dangerous world of 1969 this retroinspired adventure will transport you back in time to the height of the Cold War With its gorgeous green sepiatone visuals youll feel like youre living in a classic spy film Keep your eyes peeled for nods to your favorite spy games and movies as you use your cunning and resources to outsmart your enemies and save the world from certain doom,An mini action and adventure comedy third person shooter set during the cold war,"[5, 31, 32]",Missing,,,,,,
43,242726,Resident Evil 4: The Mercenaries,"[6, 14, 39, 48, 167, 169]",Missing,The Mercenaries is a longrunning Resident Evil challenge mode that sees players attempt to defeat as many enemies as they can before the timer runs out  or you die In the original Resident Evil 4 Mercenaries mode was unlocked upon completing the main game This time it will be a free DLC content postlaunch,"[5, 33]",Missing,,,,,,
44,241712,Loud: My Road to Fame,"[49, 130]",Missing,Get ready to rock  roll with Astrid in a heartwarming music arcade rhythm game,"[7, 12, 31, 33]",Missing,,,,,,
45,241042,The Mageseeker: A League of Legends Story - Deluxe Edition,"[6, 49, 130, 169]",Missing,The Mageseeker A League of Legends Story Deluxe Edition includes the Silverwing Supply Station Pack the Home Sweet Cave Pack the Hijacked Spells Pack and the Unchained Skins Pack,"[8, 12, 31]",Missing,,,,,,
46,241040,Neko Rescue Tale,"[48, 49, 130, 167, 169]",Missing,Scurry through the seasons in search of your lost feline friend,"[8, 9, 31]",Missing,,,,,,
47,240984,Sherlock Holmes: The Awakened - Deluxe Edition,"[6, 48, 49, 130, 167, 169]",Missing,The Deluxe Edition Includes  Sherlock Holmes The Awakened  Exclusive PreLaunch DLC  The Sleuths Attire 3 costumes  Set of digital wallpapers  The Whispered Dreams Side Quest Pack,"[9, 31, 32]",Missing,,,,,,
48,240981,Sherlock Holmes: The Awakened - The Whispered Dreams,"[6, 48, 49, 130, 167, 169]",Missing,Unlock exciting side cases that expand the world of The Awakened beyond the main adventure Enjoy new stories mysteries and investigations sure to satisfy your hunger for more detective work You will need all of your investigative skills to unravel these baffling mysteries and uncover the extraordinary truths behind them,"[9, 31, 32]",Missing,,,,,,
49,240771,Dysmantle: Doomsday,"[6, 48, 49, 130]",Missing,Board a mysterious flying cargo drone and enter a hidden archipelago holding a deadly secret Discover scientific experiments gone awry and utilize new technologies to stave off doomsday,"[12, 13, 31, 32]",Missing,,,,,,
50,236672,Disney Dreamlight Valley: Pride of the Valley,"[6, 48, 49, 130, 167, 169]",Missing,Take a step through the castles next doorway and get ready to take in the beauty of the Lion King realm Not only will you get to immerse yourself in a brand new mysterious storyline as you explore this realm but it will also mark Simba and Nalas introduction to Dreamlight Valley And was that a new recipe we spied Only time will tell With two more new faces to look forward to welcoming to your village heres hoping Scar behaves himself,Missing,Missing,,,,,,
51,234215,Afterimage: Deluxe Edition,"[6, 48, 49, 130, 167, 169]",Missing,Metroidvania made as an action platform game In Afterimage we play the role of an adventurer who travels across the fantastic land of Engardin searching for its secrets solving its problems and facing numerous dangers  Afterimage Deluxe Edition includes  Base Game  Digital Soundtrack  Digital Artbook  Reversible Cover Sheet,"[8, 25, 32]",Missing,,,,,,
52,233678,Minecraft: Legends - Deluxe Edition,"[6, 48, 49, 130, 167, 169]",Missing,Includes the base game and six additional skins,Missing,Missing,,,,,,
53,233576,Strayed Lights,"[6, 48, 49, 130, 167, 169]",Play as a newborn flame torn by shadows Progress in a hostile world on a quest to restore your light by facing your inner demons and helping beings along the way Unlock new abilities as your light brightens Find your siblings who went rogue each deformed by a specific emotion Battle these monstrous forms and pacify the emotions that control them Face your inner demons taken form to hinder your progress,An atmospheric action adventure combining a wordless experience with cinematic fights based around colors Restore your light that was torn by shadows and face endearing creatures deformed by their emotions,"[4, 12, 31, 32]",Missing,4.09,4.48,5.75,63.0,8.0,20.0
54,232637,EA Sports PGA Tour: Deluxe Edition,"[49, 169]",Missing,The exclusive home of the Majors EA Sports PGA Tour features Pure Strike for superior golf gameplay powered by ShotLink and unrivaled access to the worlds most exclusive golf courses,[12],Missing,,,,,,
55,227942,Star Wars Jedi: Survivor - Deluxe Edition,"[6, 167, 169]",Missing,The story of Cal Kestis continues in Star Wars Jedi Survivor a thirdperson galaxyspanning actionadventure game from Respawn Entertainment developed in collaboration with Lucasfilm Games This narratively driven singleplayer title picks up five years after the events of Star Wars Jedi Fallen Order and follows Cals increasingly desperate fight as the galaxy descends further into darkness Pushed to the edges of the galaxy by the Empire Cal will find himself surrounded by threats new and familiar As one of the last surviving Jedi Knights Cal is driven to make a stand during the galaxys darkest times  but how far is he willing to go to protect himself his crew and the legacy of the Jedi Order  The Deluxe Edition includes exclusive cosmetic items for Cal inspired by Han Solo and Luke Skywalker as seen in Star Wars A New Hope,[31],Missing,,,,,,
56,221165,I Did Not Buy This Ticket,"[3, 6, 14, 49]",Missing,A short horror story about losing your identity Face your traumas while riding a mysterious bus,"[31, 32, 34]",Missing,,,,,,
57,221060,Magical Drop VI,"[6, 48, 49, 130]",Missing,The legendary Japanese arcade game is back Choose your favorite characterwill it be World the Overseer of the Magical Land the mighty Justice or the devious Black Pierrotand play in one of the numerous game modes available  Solve diabolical puzzles or beat strong opponents in Arcade match Follow an adventure in Story or Path of Destiny modes full of twists and turns Challenge your friends and the best players online,"[9, 33]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
58,218520,Trinity Fusion,"[6, 48, 49, 167, 169]",Missing,Take control of your parallel selves on a mission to save the dying multiverse in this roguelite action platformer Explore dark scifi worlds and engage in fastpaced smooth and precise combat,"[8, 12, 32]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
59,217635,Homestead Arcana,"[6, 169]",Missing,Become a farming Witch and pioneer the range that has been mysteriously corrupted with Miasma Discover the secret behind its appearance grow plants to power up your spells and use natures magic to heal the land Build your very own homestead from the ground up Discover new plants and tend to your evergrowing garden to heal the land and make it your own,"[12, 13]",Missing,0.0,19.91,38.63,59.0,5.0,3.0
60,216286,Shinobi Rising,"[6, 130, 167, 169]",Missing,Welcome to Shinobi Rising the exciting new game set in the Japaneseinspired cyberpunk universe of KatanaRa In this thrilling adventure you play as a shinobi who must solve a murder mystery and discover the culprit behind the death of an innocent child heiress  As you navigate your way through the streets Clan Katas village the entire game takes place across one single night and youll need to use all your cunning and skill to survive Uncover clues and solve puzzles and inch closer to uncovering the truth behind the killing But be warned this is a village where not everyone is what they seem  Who will you strike from the shadows,"[15, 31, 32]",Missing,,,,,,
61,215900,Skinny & Franko: Fists of Violence,"[6, 48, 49, 130]",Missing,Brutal next chapter of Amigas legendary beatemup Franko The Crazy Revenge is here Its time to clean the streets of shit The iconic game finally gets a sequel it deserves,"[4, 25, 31, 32, 33]",Missing,3.23,0.0,0.0,70.0,2.0,2.0
62,214874,Dead Island 2: Hell-a Edition,"[6, 48, 49, 167, 169]",Missing,Dead Island 2 takes players across the most iconic locations of the City of Angels now stained with horror in an exciting pulp journey from the verdant suburbia of Beverly Hills to the quirky promenade of Venice Beach  HELLA Edition includes  Steelbook  Season expansion pass  Venice Beach travel map  6 slayer Tarot Cards  2 pin badges  1 patch  1 bonus weapons pack  2 additional DLC packs  Memories of Banoi Pack,Missing,Missing,,,,,,
63,214853,Dead Island 2: Day One Edition,"[6, 48, 49, 167, 169]",Missing,Dead Island 2 takes players across the most iconic locations of the City of Angels now stained with horror in an exciting pulp journey from the verdant suburbia of Beverly Hills to the quirky promenade of Venice Beach Combat delivers the most intense visceral and gory first person experience possible with plenty of weapons and tactical and brutal options to chew your way through the zombie horde  Day 1 Edition includes  The Memories of Banoi Pack  Banoi War Club  Memories of Banoi Baseball Bat  Weapon Perk  balanced  Personal space skill card,Missing,Missing,,,,,,
64,214507,God of Rock,"[6, 48, 49, 130, 167, 169]",The mysterious God of Rock has revived the souls of the universes greatest musicians to clash for his entertainment Revitalized with new bodies and new powers each musician will become a contestant in his game battling it out with each other for musical supremacy on a global stage,God of Rock blends rhythmbased gameplay with fighting game mechanics in tense 1v1 matches Choose from a dozen unique fighters each with their own design mechanics and harmonic attacks Soften up your opponent by executing normal moves and building meter by hitting notes to the beat of the song then spend your meter to unleash EX and special moves do damage and add complexity to their tracks Finally finish them off with a devastating Super attack As the battle progresses the music track will continue to grow in complexity and difficulty until only one fighter is left standing,"[4, 7, 15, 32, 33]",Missing,0.0,12.52,0.0,50.0,2.0,1.0
65,214506,Teslagrad 2,"[6, 48, 49, 130, 167, 169]",Missing,Lumina a young Teslamancer finds herself stranded after her airship crashes in Wyrmheim a remote and treacherous land to the North Embark on a dangerous adventure exploring a gigantic abandoned tower looming over a fjordside valley on a quest to get Lumina home and back to her family Use electromagnetic powers to survive the dangers of a wild and untamed land Defend yourself against Viking raiders face gruesome beasts inspired by Nordic mythology and triumph against epic bosses As your journey progresses youll discover new skills and equipment needed to uncover the secrets of the land and delve into the dark past of Luminas ancestors Teslagrad 2 is the followup to the hugely popular physicsbased game where electromagnetic powers are at the heart of survival With improved visuals a bigger world and new puzzlesolving tools Teslagrad 2 delivers a fresh and immersive puzzleplatform experience,"[8, 9, 31, 32]",Missing,2.42,4.45,8.09,64.0,11.0,20.0
