,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
11,Missing,54380,Sniper Elite 4: Digital Deluxe Edition,"[49, 130]",Discover unrivalled sniping freedom in the largest and most advanced World War 2 shooter ever built Experience tactical thirdperson combat gameplay choice and epic longshots across gigantic levels as you liberate wartime Italy from the grip of Fascism  Sniper Elite 4 includes an expansive campaign for 12 players dedicated coop modes for 24 players and gripping competitive multiplayer for up to 12,Missing,Missing,,,,,,
12,"[8, 31, 32]",53762,The Mooseman: Mythic Edition,"[3, 6, 14, 34, 39, 48, 49, 130]",This bundle caontains the original The Mooseman and the DLC The Mooseman Soundtrack and Artbook DLC,Missing,Missing,,,,,,
13,"[14, 33]",28451,ACA Neo Geo: Neo Turf Master,"[6, 48, 49, 130]",Neo Turf Master is a golf game released by SNK in 1996 Players can choose from a total of six golfers with different abilities and play on courses located around the world such as Australia or Germany,Missing,Missing,,,,,,
14,"[5, 24]",27064,Tom Clancy's Rainbow Six Siege: Operation Velvet Shell,"[6, 48, 49]",In Operation Velvet Shell two GEO Operators join Team Rainbow to regain control of the Coastline Following a year of postlaunch content this major update aims to improve player comfort with an upgraded navigation interface customisation selections and lots more,Missing,Missing,,,,,,
15,"[5, 12, 31]",26852,Tom Clancy's The Division: Last Stand,"[6, 48, 49]",The Last Stand brings new game mode Gamers will get access to a new game mode with clear objectives though itll also include elements presently existing in the Dark Zone,Missing,Missing,0.0,4.0,0.0,53.0,3.0,1.0
16,Missing,26538,Torment: Tides of Numenera - Day One Edition,"[3, 6, 48, 49]",Missing,Missing,Missing,,,,,,
17,[25],25440,For Honor: Gold Edition,"[6, 48, 49]",This version contains   For Honor  Digital Deluxe Bundle  Season Pass,Missing,Missing,,,,,,
18,"[9, 31]",30424,Queen's Quest 2: Stories of Forgotten Past,"[3, 6, 14, 48, 49, 130]",Conduct an investigation as shapeshifter,90.0,Missing,2.28,2.89,3.32,63.0,11.0,33.0
19,[5],82379,Aqua Kitty UDX: Xbox One Ultra Edition,[49],Aqua Kitty UDX blasts onto Xbox One in this enhanced Ultra Edition including an all new epic Dreadnought mode  Due to a sudden shortage of milk cats around the world are forced to seek out new sources to get their fix  You and your team of milk mining kittens have overcome a fear of water to drill down under the ocean seabed and begin extracting vast reserves of what seems to be naturally forming fullfat milk  Get ready for fast paced submarine action defending the kittens from disruptive mechanical sea creatures  The additional Dreadnought mode takes you deep down into the Meowiana trench There you must fly through and destroy huge multiscreen enemy craft whilst rescuing imprisoned kittens  Play coop or solo the milk must flow,87.0,Missing,,,,,,
20,"[8, 31, 32]",10148,Night in the Woods,"[3, 6, 14, 39, 48, 49, 130, 167]",Night In The Woods is an adventure game heavily focused on story characters and exploration with some platforming to get around town Maes a cat so the roofs and ledges and powerlines are all her playground and shes not the only one up there by a long shot Youll also be doing various activities and interacting with the world in different ways getting to know the townspeople hanging out with friends exploring Possum Springs inside and out and venturing into the surrounding areas,82.15257532089052,Night In The Woods is a VIDEO GAME All Mae wants to do is run around with her friends break stuff and hang on to a life of aggressive aimlessness She dropped out of college and returned home to her crumbling old mining town to do just that but shes finding that nothing is the same anymore The old town seems different Her old friends have grown in their own directions Mae herself is undergoing some sudden and unexplained changes giving her mysterious abilities that grant her access to a side of town she never knew existed The world is changing things are ending and the future is uncertain Up behind the park at the edge of town back in the trees by the old mine theres something in the woods And it could mean no future at all Night In The Woods comes from a deep place for us That point where you sense things are changing and its time to move on but you just dont know how Knowing that everything will end someday and wondering how well well be able to meet it when it happens How long well be able to hold on and when we should let go When to accept and when to fight,8.74,12.19,24.64,78.0,838.0,1072.0
21,"[8, 31, 32]",10681,Alwa's Awakening,"[3, 6, 14, 18, 48, 49, 130]",Use your magic staff and progress through a large interconnected world where youll solve puzzles fight enemies and defeat bosses in order to help free the land of Alwa Explore and uncover the secrets by using your platforming skills in this challenging and charming 8bit adventure game  Alwas Awakening is a game that tries to stay as close as possible to the authentic 8bit look with sweet pixel art a soundtrack filled with catchy chiptunes and so much charm itll bring you right back to the NES era With easy to understand controls the game is easy to learn but tough to master just like how games were in the old days   A new challenging NESinspired adventure game  Use the magic staff to solve puzzles and defeat enemies  Find and unlock upgrades to your items and abilities  Explore a large interconnected map in true Metroidvania style  Listen to a completely new 8bit soundtrack with over 25 new original tracks,80.0985386595623,An evil power plagues the people and its up to you to set them free You must travel to the land of Alwa and help the people living there to awaken from their nightmare You are Zoe a normal everyday girl who just happens to like to play video games One late night when shes just enjoying her favourite game she suddenly finds herself dozing off and when she awakens she has been brought into the game and into the land of Alwa,7.84,10.12,10.24,74.0,50.0,84.0
22,[35],82410,The Jackbox Party Trilogy,[49],Great news The greatest collections of party games have been bundled into one gigantic deal The Jackbox Party Trilogy gets you each of The Jackbox Party Packs which are sure to turn your next party or family gathering into a real gigglefest  You dont need a bunch of controllers to join the fun All of our games are played using any internetconnected devices like phones tablets or laptops as controllers The only things your guests need are a device and a sense of humor Unfortunately they cant buy the latter  From The Jackbox Party Pack You Dont Know Jack 2015 Fibbage Drawful Lie Swatter Word Spud  From The Jackbox Party Pack 2 Fibbage 2 Earwax Bidiots Quiplash XL Bomb Corp  And from The Jackbox Party Pack 3 Trivia Murder Party Guesspionage Tee KO Fakin It Quiplash 2  With all these games youre going to need a lot more parties and a lot more friends,80.0,Missing,,,,,,
23,"[13, 31, 32, 34]",30938,Animal Lover,"[6, 14, 48, 49, 130, 167, 169]",Evil forces have turned these five hunky beefcake timedisplaced boys into animals Youve got to help cure them and maybe even fall in love Mystery Intrigue Romance No furries despite the title A dating sim by Wilson Taylor Maia Gross and Travis Tohill,80.0,Missing,8.77,0.0,11.9,71.0,7.0,11.0
24,"[9, 12, 13, 31, 32]",27373,Unexplored,"[3, 6, 14, 48, 49, 130]",Unexplored is an accessible yet challenging roguelite action rpg featuring a fantastic level generator and a surprising amount of content and depth Explore dangerous dungeons solve mysterious puzzles and engage hundreds of foes big and small in intense melee combat,80.0,Missing,10.0,100.0,200.0,71.0,7.0,3.0
25,[12],26929,Deus Ex: Mankind Divided - A Criminal Past,"[3, 6, 14, 48, 49]",Adam Jensen is back in Deus Ex Mankind Divided  A Criminal Past along with both an old acquaintance in Delara Auzenne and new characters The second Story DLC will provide players with more insight into the lore of the Deus Ex Universe allowing them to experience Adam Jensens first mission for TF29 set some time before the events of Deus Ex Mankind Divided,79.79522049816077,In Deus Ex Mankind Divided  A Criminal Past Jensen is transferred deep into a hostile highsecurity prison for augmented felons His mission track down and retrieve sensitive information from a fellow undercover agent who has gone dark Success will help the fight against terror around the world but Jensen will need to confront a darker side to his role before the day is done,3.63,5.38,6.91,81.0,100.0,134.0
26,"[9, 31, 32]",27094,Stories Untold,"[6, 14, 48, 49, 130]",Stories Untold is a compilation tape of four episodes from the now cancelled series of the same name including a remaster of the original pilot episode The House Abandon,79.16916928085159,Missing,2.71,3.01,3.11,74.0,320.0,532.0
27,"[31, 32, 33]",27277,Forma.8,"[6, 14, 34, 39, 41, 46, 48, 49, 130]",Explore fight and solve puzzles Uncover the secrets of a mysterious alien planet in this open world metroidvania adventure where nothing is what it seems  Accidentally stranded during a crucial mission the forma8 probe will need to survive and accomplish the unthinkable What really happened on this planet Who or what lived here And when Whats the secret behind its history These are only but a handful of the questions in need of answers Or elseeverything will be lost  The peculiar visual style coupled with a deep lore and classic actionadventure mechanics makes forma8 a unique experience worth savoring and enjoy to the fullest,75.49009498020551,Missing,6.75,6.83,8.99,57.0,35.0,33.0
28,"[11, 15]",11570,Halo Wars 2,"[6, 49]",After decades adrift and declared lost with all hands the brave crew of the UNSC Spirit of Fire are mysteriously awoken above an ancient Forerunner haven known as the Ark In Halo Wars 2 Captain Cutter and his crew will face one of humanitys most formidable threats yet The Banished  a fierce and powerful Brute faction led by a cunning and lethal warrior known as Atriox  Halo Wars 2 delivers realtime strategy at the speed of Halo combat Get ready to lead armies of Spartans and other Halo fighting forces like Warthogs Scorpions and exciting new units in a brutal war against a terrifying new enemy on the biggest Halo battlefield yet,75.48705092827073,Missing,8.1,13.29,41.22,73.0,185.0,209.0
29,"[12, 15, 16, 31, 32]",2004,Torment: Tides of Numenera,"[3, 6, 14, 48, 49]",Torment Tides of Numenera is a game set in the world of Monte Cooks new tabletop RPG setting Numenera Torment continues the thematic legacy of Planescape Torment the critically acclaimed roleplaying game from 1999 thats considered by many to be a hallmark for storytelling in computer RPGs With Torment were creating a rich roleplaying experience that explores similar deep personal themes,75.33323191723431,Numenera is set in the distant future where the rise and fall of countless civilizations have left Earth in a roughly medieval state with most of humanity living in simple settlements surrounded by relics of the mysterious past The current age is called the Ninth World by its scholars who believe that eight great ages existed and were destroyed or disappeared for unknown reasons before their time leaving ruins and various oddities and artifacts behind These artifacts are known as the numenera and represent what is left of the science and technology of these past civilizations Many of them are irreparably broken but some are still able to function in ways that are beyond the level of understanding of most humans who believe these objects to be magical in nature  The protagonist of the story known as the Last Castoff is the final vessel for the consciousness of an ancient man who managed to find a way to leave his physical body and be reborn in a new one thus achieving a kind of immortality by means of the relics Unknown to him however every time he abandoned  or cast off  these host bodies they awoke with a consciousness of their own having no memory of their former master or his deeds The actions of this man known as the Changing God to some attracted the enmity of the Angel of Entropy who now seeks to destroy him and his creations The Last Castoff being one such creation is also targeted by the Angel and must find their master before both are undone To do so the protagonist must explore the Ninth World discovering other castoffs making friends and enemies along the way One means of such exploration are the Meres  artifacts that let their user gain control over the lives of other castoffs and experience different worlds or dimensions through them Through these travels the Last Castoff will leave their mark on the world  their Legacy  and will find an answer to the fundamental question of the story What does one life matter,26.1,34.69,48.85,73.0,113.0,184.0
30,"[5, 13, 14, 15, 31]",26381,TheHunter: Call of the Wild,"[6, 48, 49]",Never before have you experienced a hunting game like theHunter Call of the Wild Plunge into an atmospheric open world teeming with life from the majestic truetolife animals to the rustling of leaves above you as you stalk your prey You can decide to hunt on your own or join up and hunt together with friends Just remember you are not just a visitor in this world you are a living and breathing part of it As you finally spot the majestic crown of your first red deer through the brush the feeling is indescribable,73.64845123624215,Missing,25.71,65.65,152.03,63.0,67.0,16.0
