first_release_date,id,name,platforms,genres,storyline,summary,rating
1479427200,172569,LEGO Dimensions: E.T. The Extra-Terrestrial Fun Pack,"[9, 12, 41, 48, 49]","[9, 31]",Missing,Take ET home and add him to the mashup adventure of your favorite Lego Dimensions characters Build and place him on the Lego Toy Pad to send him into the game with his Illumination and FixIt abilities or activate his special Stealth and Telekinesis skills to make your way around the multiverse Unlock the exclusive Adventure World and Battle Arena and build ETs iconic Phone Home device then rebuild it into the Mobile Uplink and SuperCharged Satellite for additional ingame abilities,Missing
1479427200,172563,LEGO Dimensions: Sonic the Hedgehog Level Pack,"[9, 12, 41, 48, 49]","[9, 31]",Missing,Build Sonic and two vehicle accessories and use the added functionality to chase rings or race through other levels in Dimensions play,Missing
1479168000,168214,Watch Dogs 2: Zodiac Killer,"[6, 48, 49]",Missing,Missing,Zodiac Killer is a DLCexclusive mission in Watch Dogs 2 available by preordering the game or with the Season Pass It is unlocked after completing the story mission Looking Glass and reaching 1185000 followers  It features the return of the infamous Zodiac Killer who haunted San Francisco for years Players also receive an exclusive outfit and bonuses after completing the mission,Missing
1479945600,144177,Otome Riron to Sono Shuuhen Bon Voyage,[46],Missing,Missing,Missing,Missing
1479945600,142564,Id: Rebirth Session,[46],[34],Missing,Missing,Missing
1478736000,136680,Metal Gear Solid V: Ground Zeroes + The Phantom Pain,[48],Missing,Missing,Missing,Missing
1479945600,136528,Torikago no Mariage ~Hatsukoi no Tsubasa~,[46],[34],Kanako loses her father due to an abrupt accident Because of his passing the massive debt the company he once lead is left to her She had no time to grieve Her mother had passed away when she was a child so she no longer has any relatives she can rely on  When she was completely at a loss a saviour extended his hand for her to holdThe hand belonged to Shingyouji Souichi a representative belonging to a large enterprise He apparently was an old friend of her fathers  Souichi had quickly repaid the debt started a new business hired all of the staff from her fathers company and on top of that officially became Kanakos guardian  Set to live in the Shingyouji familys main home Kanako gets picked up by Hayama Tsukasa who was her fathers secretary and is lead to a location appointed by Souichi She finds out that its not the Shingyouji mansion shell be living in but in an apartment where his two sons live on their own  Instructed to cohabitate with the brothers Kanako felt uneasy During her unease Souichi mentions something that kicked her further down  Choose one of them to marry Whoever you choose will take over my company  Thinking of how much Souichi had done for her and the employees left over by her fathers company she couldnt refuse  Little by little not even Kanako herself has realised that shes slowly being lead into a birdcage,Torikago no Marriage Hatsukoi no Tsubasa is an otome game developed by Kalmia8 and published by dramatic create which was released in Japan in 2016,Missing
1478822400,136269,Dishonored 2: Collector's Edition,"[6, 48, 49]","[5, 12, 31]",Dishonored 2 is set 15 years after the Lord Regent has been vanquished and the dreaded Rat Plague has passed into history An otherworldly usurper has seized the throne from Empress Emily Kaldwin leaving the fate of the Isles hanging in the balance As either Emily Kaldwin or Corvo Attano travel beyond the legendary streets of Dunwall to Karnaca  a oncedazzling coastal city that holds the key to restoring Emily to power Armed with the mark of the Outsider and powerful new supernatural abilities hunt down your enemies and forever alter the fate of the Empire,Reprise your role as a supernatural assassin in Dishonored 2 Play your way in a world where mysticism and industry collide Will you choose to play as Empress Emily Kaldwin or the Royal Protector Corvo Attano Will you stalk your way through the game unseen make full use of its brutal combat system or use a blend of both How will you combine your characters unique set of powers weapons and gadgets to eliminate your enemies The story responds to your choices leading to intriguing outcomes as you play through each of the games handcrafted missions  The Dishonored 2 Collectors Edition is a limited supply edition of the game that comes with a ton of additions They include the following physical and digital rewards   Premium replica of Corvo Attanos mask  Premium replica of Emily Kaldwins ring complete with embossed black ring box with  purple velvet inner lining  Dishonored 2 Game with metal game case  Limited edition propaganda poster  Bonus digital ingame content  Digital copy of Dishonored Definitive Edition which includes the addon content Void  Walkers Arsenal Dunwall City Trials The Knife of Dunwall and The Brigmore Witches,Missing
1478822400,136124,Dishonored 2: Jewel of the South Pack,"[6, 48]","[5, 12, 31]",Dishonored 2 is set 15 years after the Lord Regent has been vanquished and the dreaded Rat Plague has passed into history An otherworldly usurper has seized the throne from Empress Emily Kaldwin leaving the fate of the Isles hanging in the balance As either Emily Kaldwin or Corvo Attano travel beyond the legendary streets of Dunwall to Karnaca a oncedazzling coastal city that holds the key to restoring Emily to power Armed with the mark of the Outsider and powerful new supernatural abilities hunt down your enemies and forever alter the fate of the Empire,This edition consists of the main game and the DLC Das Paket des Kaiserlichen Assassinen,Missing
1478563200,132182,Sword Art Online: Hollow Realization Collector's Edition,[48],[12],Missing,In Hollow Realization players will assume the role of series protagonist Kirito as he enters an openworld named Ainground The game is being produced in partnership with Reki Kawahara the creator of the Sword Art Online series    Hollow Realization will feature a brand new battle system with a party of four players able to use sword skills and work together to chain attacks New monsters will also be introduced in this game and an online multiplayer mode has been confirmed Characters Asuna Leafa Sinon Lisbeth and Silica will appear in the game    The PlayStation 4 collectors edition of Sword Art Online Hollow Realization for the Americas will include exclusive Kirito and Asuna figurines each one standing at six inches tall This collectors edition will also include a custom steelbook case twodisc soundtrack bluray bonus disc containing special contents miniposters decal sheets art book and a copy of the game    In Europe people who pick up the Sword Art Online Hollow Realization Collectors Edition will receive a PlayStation 4 copy of the game 17cm 67 tall Kirito and Asuna figures and a collector box to store everything,Missing
1479340800,124016,Hakuoki Yuugiroku Taishitachi no Daienkai,[46],[34],Chizuru notices that the members of Shinsengumi are secretly having a meeting and so Hijikata tells her to report to him if she finds out anything She overhears Itou talking about how he lost something precious and that he has to find it before it falls in the other members hands When Chizuru finds and opens the box that Itou lost suddenly everyone goes into chibi mode and now Chizuru has to figure out a way to return back to normal The challenge is you must successfully pass a bunch of mini games to get to the bottom of things,Compilation of three spinoff Hakuoki games in one package two of which are remasters from PlayStation Portable Hakuoki Yuugiroku and Hakuoki Yuugiroku 2 Matsuribayashi to Taishitachi with the third being original to this release While going through story episodes you get to play various mini games at intervals,Missing
1479254400,119064,Barnanza,[9],"[13, 15]",Missing,Design create and customize your farm fill it with adorable animals crazy machines and discover the delights of Barnanza  Personalize your game by naming each of your animals and giving them a distinctive look Be sure to visit the petting patch for rewarding closeup cuddles  You will be busy in all 4 seasons as you grow your farm carrying eggs shearing sheep milking cows shaking fruit from trees and packing it building fences and roads planting crops all while planning for your new arrivals Keep foxes away with your trusty dog  even protect your cows from alien abductions with your air force  Three difficulty levels allow everyone in the family to enjoy the farming lifestyle and no two farms are ever the same Whether you go for the laidback organic style of farming or the highpaced hightech wizardry of a fully automated farm youll always find the right style for you,Missing
1479340800,117933,Arcade Archives: Terra Force,"[48, 130]","[5, 33]",Missing,Terra Force is a shootem up released by Nichibutsu in 1987 The game was well known for its new tactical features using verticalhorizontal scrolling elements at the time So eliminate the incoming enemies by using the super destructive hyper missiles,Missing
1479772800,115071,Batman: The Telltale Series - Episode 4: Guardian of Gotham,"[6, 48, 49]","[2, 31]",Missing,Last thing you remember Vicky Vale drugged you and revealed to be Lady Arkham the leader of Children of Arkham terrorist group Anything after that is blurry at best Now Bruce Wayne wakes in the Arkham Asylum and not as a guest but an inmate Turns out he beat Oswald Cobblepot to a pulp after being injected by the new drug and until he finds a way to flush his system his mind will keep on playing tricks on him,Missing
1479254400,106264,The Voice of Germany: I Want You,"[5, 48, 49]",Missing,Missing,Missing,Missing
1478649600,104999,Monster Hunter Frontier ZZ,"[6, 9, 12, 41, 46, 48]",[25],Missing,Update version of Monster Hunter Frontier Z,Missing
1479772800,99533,Knobswitch,[46],"[7, 9]",Missing,Listen up Knobswitch is a game that will test the limits of your ears,Missing
1479168000,99532,Stranded: A Mars Adventure,[46],[33],Missing,Flying to Mars is a piece of cake but returning back to Earth thats where things get tricky Help the stranded astronaut to find a way back home in this delightful sidescrolling skill game,Missing
1478649600,78360,Monster Hunter Frontier Z,"[6, 9, 12, 41, 46, 48]",[25],Missing,The next installment of Monster Hunter Frontier Zenith Species and Extreme Style makes its first debut here,Missing
1479772800,75731,SD Gundam G Generation Genesis,"[46, 48, 130]","[15, 16, 24]",Missing,The latest entry in the longrunning series of Gundam strategy RPGs SD Gundam G Generation Genesis is being developed to launch on PlayStation 3 PlayStation 4 and PlayStation Vita in 2016 as part of Gundams 30th Anniversary,Missing
1479427200,74273,Pac-Man: Championship Edition 2 + Arcade Game Series,"[48, 49]",[33],Missing,BandaiNamco bundles its hit PacMan Championship Edition 2 on a disc with three Namco classics,Missing
1479340800,69353,Yoiyami Dreamer: Voice of the Dreambringer,"[6, 48, 130]","[5, 8, 31, 32]",Rumia is stuck in her own dreams and uses her darkness as a weapon to head out on an adventure Defeat the cute and troublesome Zako enemies and get involved in the chain for an exhilarating combo The terrifying bosses can seem scary but if you grasp the right opportunity you can attack and defeat them  What will Rumia come to see at the end of her dream,Yoiyami Dreamer is a 2D fixed screen heartful action game developed and published by tripper room which was released in Japan in 2015,Missing
1478736000,56884,Bokosuka Wars II,"[48, 49, 130]","[12, 13, 15]",Missing,Official sequel to the 80s game Bokosuka Wars  Defeat the tyrant King Ogores Free your allies and lead your armies to invade the Basam Empire  More than 30 years ago Bokosuka Wars captured the minds of 80s game enthusiasts across the globe Now an official sequel is finally here,Missing
1479427200,56543,Attacking Zegeta 2,[48],[8],Missing,A second Attacking Zegeta game,Missing
1479945600,56256,Rolling Bob,[48],[8],Missing,An auto scrolling platformer that has players drawing platforms,Missing
1480377600,53721,The Crew: Ultimate Edition,"[6, 48, 49]",[10],Missing,Explore the first realistic recreation of the entire USA ever built for a driving game in The Crew Ultimate Edition your all inclusive edition of the revolutionary action driving game released in 2014 The Crew Ultimate Edition includes The Crew the original game its expansion The Crew Wild Run the Season Pass content and the latest expansion The Crew Calling All Units,Missing
1480032000,42934,Dragon Ball: Xenoverse 2 - Collector's Edition,[48],"[4, 12]",Missing,As history is being attacked and altered by evil intruders players will have to become Time Patrollers in order to protect the Past and the Future of the Dragon Ball world New and powerful foes coming from Dragon Ball movies such as Slug Janemba Cooler and Turles with more to be revealed will do their best to succeed in their wicked deeds To fight them Time Patrollers will gather in a huge new city that is 7 times bigger than Toki Toki City from the previous game called Conton City,Missing
1479168000,42933,Overcooked: Gourmet Edition,"[6, 48, 49]","[13, 32]",Missing,The Overcooked Gourmet Edition stirs together the smash hit coop cooking game and the Lost Morsel content pack into one delicious package that will test your culinary skills to the limit  Overcooked is a chaotic couch coop cooking game for one to four players Working as a team you and your fellow chefs must prepare cook and serve up a variety of tasty orders before the baying customers storm out in a huff Sharpen your knives and dust off your chefs whites there isnt mushroom for error and the steaks are high in these crazy kitchens  The Overcooked Lost Morsel content pack continues the chefs crazy culinary adventure through six new campaign levels featuring challenging new kitchens set in an exotic jungle world a new vehicle to navigate the world map in and six new chef characters to unlock,Missing
1478822400,42916,Rise of the Tomb Raider: 20 Year Celebration - Collector's Edition,[48],"[5, 31]",Missing,The Collectors Edition contains  Rise of the Tomb Raider 20 Year Celebration PS4 game  Limited Edition Art Book  Exclusive Art celebrating 20 Years of Tomb Raider  12 inch tall statue of Lara Croft  Model of Laras Jade Necklace  Replica of Laras ingame journal  Collectors Box,Missing
1479340800,42902,Marvel Pinball: Epic Collection Vol. 1,"[48, 49]",Missing,Missing,Includes several tables available to play SpiderMan Doctor Strange Iron Man Blade Marvels The Avengers World War Hulk Civil War Marvels AntMan Venom and Fear Itself Realistic pinball simulation featuring table designs based on immensely popular Marvel IPs The player uses mechanical flippers to keep a ball in play Single player mode is the well known pinball gameplay with game mode completion and asynchronous high score competition via Leaderboards being the primary goals Local Hot seat mimics the multiplayer feature found in real pinball tables in which up to four players take turns each one playing until a ball is lost Local splitscreen allows players to play simultaneously with a time or score limit ending the game,Missing
