first_release_date,id,name,platforms,genres,summary,storyline,rating
1481760000,26210,Motor Strike: Immortal Legends,[48],[10],A new Action Racing experience Compete against your friends in a frenzied battle that mixes action and driving as youve never seen before More than 20 tracks with six custom environments From the desert to outer space More than 12 vehicles with unique style and abilities Different race styles fight with your team in a quick race or in cup mode 3 Dexterity Trees to customize your playstyle  Different weapons to combat your enemies from the missile launcher to the plasma cannon Compete in local mode with split screen up to 4 friends Fight against other enemies in online mode up to 6 players,Missing,Missing
1480982400,26201,Star Wars Battlefront: Rogue One - Scarif,"[6, 48, 49]",[5],Star Wars Battlefront Rogue One  Scarif is the fourth and final digital expansion pack as part of the Star Wars Battlefront Season Pass  Experience allnew epic battles and content inspired by the upcoming film Rogue One A Star Wars Story  Touch down from space onto the planet of Scarif Fight across the beaches and jungle with heroine Jyn Erso and the cruel but brilliant director of Advanced Weapons Research Orson Krennic as two new playable heroes Blast opponents in a brand new multistage Infiltration mode use the new A180 and DT29 blasters and try out the new Sonic Imploder star card Band together on the battlefront for an epic Star Wars adventure,Missing,Missing
1481760000,19465,Akiba's Beat,"[46, 48]",[12],Akibas Beat is an action RPG developed by Acquire and is the sequel to Akibas Trip The game takes place in Akihabara where the party getting stuck in a world of delusions trapped in a repeating daylong cycle on a Sunday,Missing,Missing
1481155200,19211,Wanted Corp.,"[6, 9, 46]",[5],Wanted Corp is a 3rd person cooperative actionshooter game compatible with Sonys Motion Controller During the game up to 2 players can embody two charismatic bounty hunters the raw Neal Maddogg and the mysterious IrinaYs to track down the most wanted criminals of the galaxy escaped during their transfer Neutralizing fugitives exploring the hostile stages and collecting much soughtafter stuffs allow the bounty hunters to earn some cash in order to upgrade their equipment and abilities,Missing,Missing
1483142400,1943,Whore of the Orient,"[6, 48, 49]",[31],The next title from the team behind LA Noire,Missing,Missing
1480982400,26255,Overcooked!: The Festive Seasoning,"[6, 48, 49]","[13, 15, 32]",The Festive Seasoning dishes up a festive feast of holidaythemed extra content for Overcooked Eight new coop levels new chefs new recipes a new vehicle and a new way to cook  the flamethrower Its a sizzling serving of Christmassy coop chaos,Missing,90.77401428852005
1483142400,93901,Grand Theft Auto V: Premium Online Edition & Whale Shark Card Bundle,"[6, 9, 49]","[5, 10, 14, 31]",The Grand Theft Auto V Premium Online Edition  Whale Shark Card Bundle includes the complete Grand Theft Auto V story experience free access to the ever evolving Grand Theft Auto Online and all existing gameplay upgrades and content including The Doomsday Heist Gunrunning Smugglers Run Bikers and much more Youll also get the Criminal Enterprise Starter Pack the fastest way to jumpstart your criminal empire in Grand Theft Auto Online plus a Whale Shark Cash Card worth 3500000 ingame GTA dollars to spend in GTA Online  When a young street hustler a retired bank robber and a terrifying psychopath land themselves in trouble they must pull off a series of dangerous heists to survive in a city in which they can trust nobody least of all each other  Discover an everevolving world of choices and ways to play as you climb the criminal ranks of Los Santos and Blaine County in the ultimate shared Online experience  The Criminal Enterprise Starter Pack is the fastest way for new GTA Online players to jumpstart their criminal empires with the most exciting and popular content plus 1000000 bonus cash to spend in GTA Online  all content valued at over GTA10000000 if purchased separately  Launch business ventures from your Maze Bank West Executive Office research powerful weapons technology from your underground Gunrunning Bunker and use your Counterfeit Cash Factory to start a lucrative counterfeiting operation  Tear through the streets with a range of 10 high performance vehicles including a Supercar Motorcycles the weaponized Dune FAV a Helicopter a Rally Car and more Youll also get properties including a 10 car garage to store your growing fleet  Youll also get access to the Compact Grenade Launcher Marksman Rifle and Compact Rifle along with Stunt Racing Outfits Biker Tattoos and more,Missing,90.0
1480982400,19085,Shadow Tactics: Blades of the Shogun,"[3, 6, 14, 48, 49]","[11, 13, 15, 24, 32]",Skillfully hide from and sneak past the enemies fields of view take their formations apart and hide their bodies to cover your tracks Quick Save will enable you to execute your plans perfectly Tactically plan actions for your whole team and execute them all at once Make use of the vertical gameplay and jump from roof to roof to silently kill your foes from above,In the year 1615 in Japan a new Shogun seizes power over Japan and enforces nationwide peace In his battle against conspiracy and rebellion he recruits five specialists in assassination sabotage and espionage  The team must fight against the mysterious Kagesama who plans to overthrow the Shogun They infiltrate castles gather information through espionage fight rebellions and ruthlessly eliminate Kagesamas allies The group is comprised of very different personalities working together as a team seems impossible at first Yet over the course of many missions trust is won and friendships are made The characters develop their own dynamic and each member will face some kind of personal drama,86.72636484841115
1481155200,12527,Yakuza 6: The Song of Life,"[6, 48, 49]","[12, 25, 31]",Step into Japans criminal underworld in this explosive action brawler starring legendary yakuza Kazuma Kiryu who is hellbent on unraveling the truth around his daughters tragic accident,In Yakuza 6 Kazuma Kiryu will find out exactly how much people are willing to sacrifice for family  be those ties through blood or bond  when he investigates a series of shadowy events that involve the ones he holds closest to his heart Fresh out of a threeyear prison sentence an older and weathered Kiryu comes to find out that his surrogate daughter Haruka has gone missing from the orphanage he looks after The trail leads him to his old stomping grounds in Kamurocho where he discovers that she has been struck by a car and now lies in a coma To make matters worse Kiryu learns that Haruka now has a son that he must look after With baby in hand Kiryu journeys to the seaside town of Onomichi Hiroshima to unravel the truth about Haruka her son and a sinister secret that the Hiroshima yakuza are harboring,85.15824470042907
1483142400,42975,Call of Duty: Modern Warfare Trilogy,"[9, 12]",[5],This Trilogy includes Call of Duty 4 Modern Warfare Call of Duty Modern Warfare 2 and the Stimulus Package DLC Collection 1 and Call of Duty Modern Warfare3  This Trilogy includes all 3 games from the Call of Duty Modern Warfare franchise Call of Duty 4 Modern Warfare delivers the most thrilling combat action experience available and is the winner of more than 15 perfect score reviews and more than 50 combined Editors Choice and Game of the Year awards Call of Duty Modern Warfare 2 picks up immediately following the historic events of its predecessor Its Stimulus Package includes five maps Crash Overgrown Bailout Salvage and Storm Call of Duty Modern Warfare 3 is the third instalment and epic finale of the series,Missing,85.0
1480982400,25632,SuperHot VR,"[161, 163, 165, 384, 385, 386]","[5, 9, 31, 32]",SuperHot VR is a title reimagined and redesigned from the ground up for Oculus Rift and Touch hand tracking controllers SuperHot VR brings the intensely visceral action of SuperHot directly into your head and soul,Missing,84.66486468802417
1481155200,23181,OneShot,"[3, 6, 14, 48, 49, 130, 167, 169]","[9, 12, 31, 32]",In this PuzzleAdventure game you must guide Niko through a mysterious world utilizing items characters and the environment to progress The life of a lost child and the fate of a steadily decaying world hang in balance and not everyoneor everythingis interested in preserving them either,You are to guide a child through a mysterious world on a mission to restore its longdead sun Of course things are never that simple The world knows you exist The consequences are real Saving the world may be impossible You only have one shot,83.34354647403694
1480982400,117,The Last Guardian,[48],"[8, 9, 31]",In a strange and mystical land a young boy discovers a mysterious creature with which he forms a deep unbreakable bond The unlikely pair must rely on each other to journey through towering treacherous ruins filled with unknown dangers Experience the journey of a lifetime in this touching emotional story of friendship and trust,Missing,83.06987204174385
1482192000,11078,Shantae: Half-Genie Hero,"[6, 41, 46, 48, 49, 130]","[8, 31, 32]",Shantae embarks on her first full HD adventure After three highly successful outings with Shantae Shantae Riskys Revenge and Shantae and the Pirates Curse Shantae and her friends finally get a full HD consolebased sequel Boasting vivid detailed highdefinition graphics that retain the 2D handdrawn sprites the series is known for this newest entry in the Shantae series almost looks like a playable TV show Presented as a stagebased 25D platformer with heavy exploration elements Shantae uses her trademark HairWhip Attack to dispatch enemies then takes advantage of her Belly Dance Magic to transform into 8 different forms that each have their own unique abilities and move sets As new forms are mastered old stages can be reexplored to unearth new items and secrets ensuring theres plenty of content on offer for novices and platforming gurus alike Topple the villainous Baron behind each criminal caper afflicting Sequin Land and prepare for the ultimate showdown against Shantaes archnemesis that bodacious buccaneer Risky Boots,Shantae is roused from a deep sleep suddenly alert She plunges into the moonlit forest in search of answers In nearby Scuttle Town she discovers a mysterious trapdoor and beyond that a luminous subterranean cavern A familiar voice calls out drawing Shantae to a beautiful fountain Touching its waters she is immediately spirited away to the fabled Genie Realm At her feet a magical seal swells as some powerful evil seeks escape The chamber trembles with a deep bellowing roar and everything goes white Shantae sits upright back in her bed Was it just a dream Or a vision of things to come,81.02381369251043
1480896000,31806,Mr. Massagy,"[6, 48, 49]","[13, 15, 32]",Use your dating skills to get a wellearned Massage through your gamepad controller Skills not included,Missing,80.0
1482105600,30181,Pretty Girls Panic!,"[6, 14, 48, 130, 167]","[9, 33]",Socially conservative sea creatures have constructed a water filled screen to hide the Pretty Girls from view But please dont panic Use your special tool to penetrate the barrier and reveal the girls while avoiding getting caught Girls will gradually disrobe from stage to stage to reward you for your success,Missing,80.0
1481068800,26550,Smashbox Arena,"[6, 48]","[5, 14, 32]",Teambased action game with insane physicsdriven powerups Shoot duck behind cover and coordinate with teammatesall in glorious VR Play both Singleplayer Story Mode and Online Multiplayer,Missing,80.0
1481068800,26548,Her Majesty's Spiffing,"[3, 6, 14, 48, 49, 130]","[2, 9, 15, 31, 32]",Her Majestys Spiffing is a quaint graphic adventure game following the exploits of Captain Frank Lee English and his trusted regional accented colleague Aled as they travel through the cosmos in search of planets to claim for a new Galactic British Empire,In the wake of political developments during the summer of 2016 and the events that followed Britain found itself increasingly isolated from global society Frustrated by the demise of this once great nation Her Majesty the Queen concluded that the elected representatives at Westminster were no longer fit to govern her United Kingdom  Having dissolved parliament returning the United Kingdom to an autocratic government improvements were immediate and wide ranging However ever the pragmatist Her Majesty concluded that given the complications Britain was facing returning to a position of power on earth perhaps it was time to focus her attention elsewhere  Establishing SPIFFING Special Planetary Investigative Force For Inhabiting New Galaxies Her Majesty has turned to the stars in a bid to establish a new Galactic British Empire  Assuming command of the near futuristic space ship HMSS Imperialise and her crew distinguished veteran and gentleman Captain Frank Lee English and Aled his mild mannered South Walean colleague YOU will venture into the cosmos solving puzzles engaging in witty banter deal with crippling claustrophobia gradually succumb to the sustained exposure of cosmic radiation and so on all for Queen and Country  Heck along the way you may stumble into a few other folks venturing about the cosmos with their own intergalactic aspirations,80.0
1481587200,25675,Wild Guns Reloaded,"[6, 48, 130]","[5, 33]",Wild Guns Reloaded is an enhanced remaster of Wild Guns It introduces two new characters Doris and Bullet the dog along with his sentry drone The update also includes extra stages and modes along with improved visuals and audio,Annie has tracked down the famed bounty hunter Clint to get revenge on the Kid gang,80.0
1482105600,26596,Angels of Death,"[6, 34, 39, 48, 49, 130]","[12, 31, 32]",Please kill me If you get out with me then Ill kill you  Their strange promise formed a peculiar bond between the two of them Where are they Why were they caught They desperately try to escape from the sealed building  Angels of Death is a psycho horror adventure game which consists of four episodes,Angels of Death follows the psycho horror story of Ray and Zack as they attempt to escape the world they are in Where are they What is going on Without knowing the answer to so many questions they have no choice to trust each other and push forwards for their own personal goals,77.56705830425673
1480723200,18854,Let It Die,"[6, 48]",[25],LET IT DIE is a hyperviolent hackandslash action experience with roguelike elements Fight your way to the top in this freetoplay collaborative creation brought to you by Grasshopper Manufacture and GungHo Online Entertainment America,In the year 2026 AD a large tectonic disturbance occurred causing mass destruction around the world  South Western Tokyo split off into the ocean and became an island covered by a deep fog  Continuous seismic activity then caused a large spire to rise out of the ocean through the island creating a towerlike structure that pierces the clouds  Many mysteries remain hidden from the eyes of mankind await those courageous enough to dare approach the tower,74.30850573011301
